n_iterations,n_points,stoch_prior,trapezoid
5000,5,False,True
iteration,prior mass,worst L,evidence
0,1.1812692469220183,0.0,0.0
1,0.8187307530779818,1.0862090867887702e-194,1.968963031620535e-195
2,0.8187307530779818,4.496927402561879e-194,5.3059239082820016e-195
3,0.6703200460356393,6.36958093691722e-192,8.649417549335478e-193
4,0.5488116360940264,1.8401572798309267e-189,2.041941158398781e-190
5,0.44932896411722156,6.041805149116566e-179,5.465785334825347e-180
6,0.36787944117144233,1.1316507450233876e-175,8.387305920168082e-177
7,0.30119421191220214,6.833337152768355e-175,4.9825508801889046e-176
8,0.2465969639416065,2.01620465395362e-173,1.0508478718189881e-174
9,0.20189651799465538,2.453591677136703e-171,1.007869888487542e-172
10,0.16529888822158653,9.549897566722771e-168,3.1792727391579624e-169
11,0.1353352832366127,1.2153086555758398e-167,6.490729348651587e-169
12,0.11080315836233387,2.183757300851864e-167,1.1362400349487333e-168
13,0.09071795328941251,1.9596943760173577e-166,4.715580673664278e-168
14,0.07427357821433388,2.860827787408793e-166,8.993646907409866e-168
15,0.06081006262521797,2.8304805513208e-165,4.364794185248907e-167
16,0.049787068367863944,2.1547634528071565e-162,2.1642844501492542e-164
17,0.04076220397836621,3.7658999773452984e-162,5.2549206027041115e-164
18,0.03337326996032608,7.102763782709455e-162,1.0027438598380103e-163
19,0.02732372244729256,1.2239619350491225e-161,1.6760758033351382e-163
20,0.0223707718561656,6.722231523313184e-160,3.195328743432531e-162
21,0.01831563888873418,1.2441838677361342e-159,7.783378085837784e-162
22,0.014995576820477703,9.075432211653568e-159,3.5183464644890758e-161
23,0.012277339903068436,7.376387684304903e-158,2.1751821857613485e-160
24,0.010051835744633586,1.3713522651736925e-157,4.950520000211415e-160
25,0.00822974704902003,1.05547697968365e-155,1.7983718420814982e-158
26,0.006737946999085467,4.9721163386700776e-154,6.924967022089991e-157
27,0.0055165644207607716,5.087153684208447e-153,6.342711961289598e-156
28,0.004516580942612666,1.114578782077835e-151,1.0769697275819435e-154
29,0.003697863716482932,1.0153496237225973e-150,8.636380672969574e-154
30,0.0030275547453758153,2.1879745246936313e-149,1.42005630266904e-152
31,0.0024787521766663585,1.169387520897204e-148,7.256025689993474e-152
32,0.002029430636295734,7.888207560546391e-148,3.9487040770838084e-151
33,0.001661557273173934,5.136845890590142e-147,2.1133061381710825e-150
34,0.0013603680375478939,6.271866096906089e-147,3.831114208342551e-150
35,0.0011137751478448032,5.101732267687416e-145,1.1823390746319235e-148
36,0.0009118819655545162,3.19280561596108e-144,7.044160000506254e-148
37,0.0007465858083766792,9.96284806855097e-143,1.5680031443325963e-146
38,0.0006112527611295723,3.8316139201338374e-142,6.283462630475e-146
39,0.0005004514334406108,1.3412531538752965e-141,1.9797780673992737e-145
40,0.0004097349789797868,1.6870981636927904e-141,3.371539621665242e-145
41,0.00033546262790251185,5.014022024002915e-141,6.758045420653612e-145
42,0.00027465356997214254,6.734625244352296e-140,4.399894163886335e-144
43,0.0002248673241788482,1.4928041298893567e-139,1.1158398884873823e-143
44,0.0001841057936675792,1.878761495422982e-138,8.079868521984144e-143
45,0.0001507330750954765,8.4856913428869115e-137,2.656035851892812e-141
46,0.00012340980408667956,5.248056381903953e-136,1.569579580608817e-140
47,0.00010103940183709342,1.5071139641137945e-135,4.635481814554666e-140
48,8.272406555663223e-05,1.7449289253854214e-135,7.541718988879023e-140
49,6.77287364908539e-05,1.7898890331115527e-134,3.1949062999913444e-139
50,5.5451599432176945e-05,1.5592446596711278e-133,2.0602942624010434e-138
51,4.5399929762484854e-05,2.6670398649204405e-132,2.643874653082729e-137
52,3.7170318684126734e-05,2.953939913240996e-132,4.854521571392226e-137
53,3.0432483008403625e-05,5.2137586204690936e-132,8.049072018373851e-137
54,2.4916009731503204e-05,6.482626934166832e-130,3.332493908531765e-135
55,2.0399503411171922e-05,1.1060903559664976e-128,4.876133341280347e-134
56,1.670170079024566e-05,2.451682301991667e-126,8.292919830610174e-132
57,1.3674196065680964e-05,2.471948151762568e-125,7.634832150566348e-131
58,1.119548484259094e-05,6.226320431320619e-125,2.16692956496451e-130
59,9.166087736247617e-06,3.776793404761763e-123,7.186627195142842e-129
60,7.504557915076858e-06,3.3009279387059976e-122,5.706159158897562e-128
61,6.14421235332821e-06,2.0390887377100966e-120,2.5795186676463876e-126
62,5.030455607111448e-06,3.6313791172618405e-119,3.9358555701459815e-125
63,4.118588707535708e-06,9.727015067111851e-119,1.2001692818049886e-124
64,3.3720152341391845e-06,5.187847672938941e-118,4.722240921217433e-124
65,2.7607725720371986e-06,2.4618275184077785e-116,1.4156117897730736e-122
66,2.2603294069810542e-06,7.393873182003281e-116,4.780457648079093e-122
67,1.8506011975819082e-06,2.4650068143721612e-111,9.1849121944904e-118
68,1.515144112143249e-06,1.195185403867816e-110,4.564440852429508e-117
69,1.2404950799567134e-06,3.9248576038360844e-108,9.848224347492058e-115
70,1.0156314710024903e-06,5.1248231972841955e-107,1.1464223899794702e-113
71,8.315287191035679e-07,6.352475286062806e-107,2.2099326378456186e-113
72,6.807981343976342e-07,2.960954720152966e-104,4.080655530959697e-111
73,5.573903692694596e-07,3.8085510516731344e-103,4.6821262328726406e-110
74,4.563526367903994e-07,2.0559829707430627e-102,2.357254210337265e-109
75,3.73629937988526e-07,1.0181414525543622e-100,7.894710599199303e-108
76,3.059023205018258e-07,3.94923295780854e-100,3.2217700850775054e-107
77,2.504516372327622e-07,6.0208342929061155e-99,3.3581785746469776e-106
78,2.0505245756119267e-07,2.977331413724889e-97,1.2627564498650088e-104
79,1.6788275299956632e-07,4.0478023401513485e-97,2.630947738896743e-104
80,1.374507727921396e-07,7.816317088023967e-96,2.4261658833552214e-103
81,1.1253517471925912e-07,8.98135446078498e-96,4.4611056923592116e-103
82,9.213600834566135e-08,2.558635507264305e-95,9.207450194263189e-103
83,7.543458349844258e-08,8.830715694372109e-95,2.2619274057247612e-102
84,6.176061335580363e-08,4.681456286820971e-94,8.083147428763715e-102
85,5.05653134833552e-08,1.4737431013295628e-92,1.5811930411406966e-100
86,4.139937718785167e-08,2.536480181171423e-92,3.6953962251074847e-100
87,3.389494326196924e-08,8.227492784937224e-92,9.31006140423669e-100
88,2.7750832422407563e-08,9.51179044784229e-91,6.245473332329085e-99
89,2.2720459927738556e-08,1.4357260036109477e-90,1.2813125236128163e-98
90,1.860193926691551e-08,1.649260257463011e-90,1.8990000873717623e-98
91,1.522997974471263e-08,3.360674364055018e-90,2.929498199373582e-98
92,1.2469252785750989e-08,1.679237658907223e-89,7.145240312546469e-98
93,1.0208960723597638e-08,3.32100979662755e-89,1.3971347936248763e-97
94,8.358390101374608e-09,8.130866031244022e-88,1.5080120825952693e-96
95,6.843271022217988e-09,1.017720476560748e-87,2.910224130979427e-96
96,5.602796437537268e-09,7.512155545134278e-86,8.765069193995261e-95
97,4.587181746647524e-09,4.8434321259020297e-85,5.349730515464173e-94
98,3.7556667659383025e-09,6.12004159489797e-85,9.977405680691512e-94
99,3.074879879586606e-09,7.692436774049611e-85,1.473967038736649e-93
100,2.517498719438278e-09,1.8559312822460982e-84,2.4146701748743068e-93
101,2.061153622438558e-09,3.938780127242528e-84,4.049202604673797e-93
102,1.6875298575085319e-09,6.505210985975899e-84,6.259416443872973e-93
103,1.3816325910795407e-09,2.544160751654602e-83,1.3336569030754437e-92
104,1.1311850917716326e-09,2.893720174408078e-79,6.591731712677262e-89
105,9.261360220567754e-10,3.8872724097059143e-78,7.907557185665415e-88
106,7.582560427911907e-10,2.531636379870621e-77,4.6556591715912965e-87
107,6.208075409403624e-10,4.017495260859561e-77,9.677163002720598e-87
108,5.082742255105933e-10,7.115613321375278e-77,1.695884767740909e-86
109,4.161397394224149e-10,9.762994609096281e-76,9.875703543839e-86
110,3.407064022429891e-10,2.210864910624352e-75,2.5041455304957236e-85
111,2.7894680928689246e-10,5.689600858294768e-75,5.699541184533872e-85
112,2.2838233123615781e-10,8.093284880111284e-74,4.291374835242544e-84
113,1.8698363804268472e-10,8.567931186882512e-74,7.51690432452729e-84
114,1.5308925478794762e-10,1.2860040983971686e-73,1.1480674843564886e-83
115,1.2533888086068347e-10,1.4636555667005383e-73,1.5174243218310043e-83
116,1.026187963170189e-10,2.0149562559116696e-73,1.9337315773832796e-83
117,8.401716438858898e-11,3.3884613591530905e-73,2.5069128585950697e-83
118,6.87874362713461e-11,5.272540334867824e-73,3.2371273977080364e-83
119,5.631838950074272e-11,9.283034516588048e-73,4.289723200497932e-83
120,4.610959744808222e-11,3.421568675236042e-72,7.46614401751869e-83
121,3.775134544279098e-11,3.3310719461396745e-71,3.278463915394113e-82
122,3.0908187484083317e-11,1.7277914179299708e-70,1.4030390542691038e-81
123,2.5305483615119005e-11,5.413186877758147e-70,4.161006296353496e-81
124,2.0718377657208856e-11,7.387392342691727e-70,7.242550143606948e-81
125,1.6962772941840653e-11,7.781746221687197e-70,9.900185261371238e-81
126,1.3887943864964021e-11,2.043448046933489e-69,1.561395842064262e-80
127,1.1370486739266739e-11,4.998087231843703e-68,1.3003458699365858e-79
128,9.30936717090307e-12,6.696802354569324e-68,2.555534749301429e-79
129,7.62186519451289e-12,6.9893041977669836e-68,3.6280825278103776e-79
130,6.2402554305624016e-12,3.3523111836334456e-67,7.839886350188605e-79
131,5.109089028063325e-12,5.1127189543159134e-67,1.309905178449298e-78
132,4.182968307488743e-12,7.763172869272393e-67,1.9637057152274587e-78
133,3.4247247924915922e-12,8.753465418123385e-67,2.5672750124595364e-78
134,2.8039275084414685e-12,1.7980533434269594e-66,3.582332864131743e-78
135,2.2956616805623547e-12,7.648473395723229e-66,7.117452265160117e-78
136,1.8795288165390832e-12,2.519457534051849e-65,1.6651503311063059e-77
137,1.5388280433968128e-12,3.7239935058226565e-65,2.818923536121052e-77
138,1.2598858428277908e-12,1.1881640783546125e-64,5.83282504342405e-77
139,1.0315072848906821e-12,1.8395390005772017e-64,9.653171423189042e-77
140,8.445267361639731e-13,1.0179454027663838e-63,2.6961667343178404e-76
141,6.914400106940203e-13,1.8810699922134796e-63,5.314837523094984e-76
142,5.661032006637635e-13,4.951172825354081e-63,1.0958033568370626e-75
143,4.634860997992993e-13,5.7274020672442185e-62,6.440410988399455e-75
144,3.794703235298559e-13,7.281088156549923e-62,1.2003237919335259e-74
145,3.1068402375434455e-13,1.2810477083814193e-61,2.001643209486541e-74
146,2.543665647376923e-13,4.1412380499197684e-61,4.122501553045945e-74
147,2.0825772910555018e-13,1.3439790705451162e-60,9.75777605041264e-74
148,1.7050700738489757e-13,4.060884374217058e-60,2.3698466940766293e-73
149,1.3959933056130979e-13,6.580207881209185e-59,2.0864423204307778e-72
150,1.1429426503964337e-13,1.3285930158854193e-58,5.143740839887566e-72
151,9.357622968840175e-14,2.6305339921720613e-58,1.0099736332058884e-71
152,7.661373700298343e-14,7.451415216327162e-58,2.1593621461094716e-71
153,6.27260225925711e-14,1.818402286124773e-57,4.455823601419413e-71
154,5.1355723714802096e-14,9.031926176844915e-57,1.3794614997971423e-70
155,4.204651035188472e-14,9.689388903938366e-57,2.19971442253324e-70
156,3.442477108469977e-14,3.4014144589924794e-56,4.5572163479134856e-70
157,2.8184618754713393e-14,4.50173766485955e-55,3.0102679993003404e-69
158,2.3075614138262324e-14,1.5816997505447187e-54,1.0358768971294662e-68
159,1.8892714941156384e-14,6.389879216344243e-54,3.4664487401124717e-68
160,1.5468046731460616e-14,8.004461796603079e-54,5.959258022963336e-68
161,1.2664165549094176e-14,1.2775066575489966e-53,9.216583774879166e-68
162,1.0368541797114079e-14,1.548067374058411e-52,4.153343077710473e-67
163,8.489044033871777e-15,2.0295660456621884e-52,7.622176272656402e-67
164,6.950241414763969e-15,2.7722056635510326e-52,1.1501417422375093e-66
165,5.690376387583507e-15,3.757230879105005e-52,1.580599280945943e-66
166,4.658886145103398e-15,5.073631604049816e-52,2.05650669291904e-66
167,3.81437336208507e-15,1.4653364077274664e-51,3.181842097601826e-66
168,3.122944775260516e-15,7.316576674236401e-51,7.782221753087022e-66
169,2.5568509276699837e-15,1.688090616089485e-50,1.6472278357575809e-65
170,2.093372485519391e-15,1.8295066261882046e-50,2.4183122768384545e-65
171,1.713908431542013e-15,7.924415160205491e-50,5.152801883510077e-65
172,1.403229540863091e-15,1.812619333699049e-49,1.0273825379413851e-64
173,1.1488671787321141e-15,3.7196477063591766e-49,1.8877680192950445e-64
174,9.406128904299175e-16,9.15302316605237e-49,3.621160583757034e-64
175,7.701087001365468e-16,1.9604000680178792e-48,6.66077279291714e-64
176,6.305116760146989e-16,2.1813602503952318e-48,9.429894027519565e-64
177,5.162192993279735e-16,2.3134589422515154e-48,1.1834353575032879e-63
178,4.2264461569218167e-16,2.806416428178227e-48,1.4222433711043697e-63
179,3.4603214449001314e-16,3.330103294015946e-48,1.6542474341125426e-63
180,2.833071582474987e-16,1.2671157108812433e-47,2.3770093579039858e-63
181,2.3195228302435696e-16,5.758514298393231e-47,5.066255427719089e-63
182,1.899064673586884e-16,6.094142332462407e-47,7.396351296685854e-63
183,1.554822650349588e-16,8.58277202928482e-47,1.0083117505020565e-62
184,1.2729811194234181e-16,1.058629372335142e-46,1.279635208528222e-62
185,1.042228790559592e-16,2.1270826153521694e-46,1.7259783498921548e-62
186,8.533047625744066e-17,6.384405467314615e-46,2.8228254010669798e-62
