n_iterations,n_points,stoch_prior,trapezoid
200000,200,False,True
iteration,prior mass,worst L,evidence
0,1.0049875208073176,0.0,0.0
1,0.9950124791926823,4.689684680233825e-196,2.33898999224249e-198
2,0.9950124791926823,4.736995854915052e-196,3.5143915370094846e-198
3,0.9900498337491681,5.0577546322476e-196,6.018116535566967e-198
4,0.9851119396030626,5.373515180037059e-196,8.66488454448127e-198
5,0.9801986733067553,5.523189339147082e-196,1.1371807254620003e-197
6,0.9753099120283326,5.82233297179181e-196,1.4211108614266786e-197
7,0.9704455335485082,6.156108901758311e-196,1.7198205254341255e-197
8,0.9656054162575665,6.2461848131981415e-196,2.021389276295417e-197
9,0.9607894391523232,6.514329517970269e-196,2.3343355304355412e-197
10,0.9559974818331,7.056584861003742e-196,2.6716408037431372e-197
11,0.951229424500714,8.298634689326098e-196,3.066337723292309e-197
12,0.9464851479534838,8.964186262699873e-196,3.490562948948964e-197
13,0.9417645335842487,9.196076475042179e-196,3.923591686846266e-197
14,0.9370674633774034,1.0730033243929475e-195,4.426332033283808e-197
15,0.9323938199059483,1.2471954464634027e-195,5.0077731191965936e-197
16,0.9277434863285529,1.2774080450703516e-195,5.600329084771442e-197
17,0.9231163463866358,1.4499782533731478e-195,6.269581187110678e-197
18,0.9185122844014574,2.4433226559010835e-195,7.391696799679528e-197
19,0.9139311852712282,2.6587312453687843e-195,8.606650561170876e-197
20,0.9093729344682314,2.680571403779047e-195,9.825475181345078e-197
21,0.9048374180359595,2.7334981773846664e-195,1.1062166050724043e-196
22,0.9003245225862656,2.7904560383975254e-195,1.2318329285006358e-196
23,0.8958341352965282,3.657997601453952e-195,1.3956815671120697e-196
24,0.8913661439068313,5.574734017324485e-195,1.6441390605650447e-196
25,0.8869204367171575,6.129019763458369e-195,1.9159378373193714e-196
26,0.8824969025845955,7.65317105902649e-195,2.2536342321106257e-196
27,0.8780954309205613,9.517819119306445e-195,2.671513647319348e-196
28,0.8737159116880344,1.087362087456055e-194,3.146538405371733e-196
29,0.8693582353988059,1.0959422303199113e-194,3.6229235920291947e-196
30,0.8650222931107413,1.2198219416628312e-194,4.1505123768913782e-196
31,0.8607079764250578,1.5207785281887957e-194,4.804988208660088e-196
32,0.8564151774836135,1.5580357213983198e-194,5.472153707941802e-196
33,0.8521437889662113,2.001716147086574e-194,6.325032252598633e-196
34,0.8478937040879159,2.286112553680216e-194,7.294226511447166e-196
35,0.8436648165963837,3.201697410074823e-194,8.64481186800369e-196
36,0.8394570207692074,3.4918692362696966e-194,1.0110455047829772e-195
37,0.835270211411272,3.563555465182139e-194,1.1598727112334529e-195
38,0.8311042838521256,3.925368938581361e-194,1.322992937926834e-195
39,0.8269591339433623,3.929965204617087e-194,1.4854896460963606e-195
40,0.8228346580560184,4.425330496246452e-194,1.6675561699878553e-195
41,0.8187307530779818,4.724649512926496e-194,1.8609677685545582e-195
42,0.8146473164114145,5.0456510921616986e-194,2.066489930983296e-195
43,0.8105842459701871,5.370411563631987e-194,2.284149388287866e-195
44,0.8065414401773269,5.853700802211546e-194,2.5202129856524625e-195
45,0.8025187979624785,6.049538622680345e-194,2.762957420269707e-195
