n_iterations,n_points,stoch_prior,trapezoid
50000,50,False,True
iteration,prior mass,worst L,evidence
0,1.0198013266932446,0.0,0.0
1,0.9801986733067553,5.0577546322476e-196,1.0015025180740638e-197
2,0.9801986733067553,5.373515180037059e-196,1.5229815898827364e-197
3,0.9607894391523232,6.2461848131981415e-196,2.723315289098015e-197
4,0.9417645335842487,7.056584861003742e-196,4.052532169485712e-197
5,0.9231163463866358,1.2774080450703516e-195,6.411081893617067e-197
6,0.9048374180359595,2.680571403779047e-195,1.1262367913305714e-196
7,0.8869204367171575,3.657997601453952e-195,1.7751506162718455e-196
8,0.8693582353988059,1.5580357213983198e-194,4.484313589594877e-196
9,0.8521437889662113,3.4918692362696966e-194,1.0435859703959523e-195
10,0.835270211411272,5.677773694978559e-193,1.052916878217416e-194
11,0.8187307530779818,1.0422076055492337e-192,2.759605487658419e-194
12,0.8025187979624785,1.120672279371154e-192,4.55844654590109e-194
13,0.7866278610665535,1.2474590119093524e-192,6.521149415266022e-194
14,0.7710515858035663,1.2494628679496645e-192,8.448078522682404e-194
15,0.7557837414557255,1.3675925416270825e-192,1.0515424755128814e-193
16,0.7408182206817179,2.0223598775855242e-192,1.3512026611445542e-193
17,0.7261490370736909,2.238733591886711e-192,1.6763551853705724e-193
18,0.7117703227626097,2.8496045093779006e-192,2.0820350137075396e-193
19,0.697676326071031,3.175856668173908e-192,2.525208559707853e-193
20,0.6838614092123558,3.454407785729729e-192,2.9977072934221523e-193
21,0.6703200460356393,1.252352143650237e-191,4.676772719062574e-193
22,0.6570468198150567,1.3876215441108433e-191,6.500358931133347e-193
23,0.6440364210831414,2.5926654139759693e-191,9.840123480279596e-193
24,0.631283645506926,3.1388163736845725e-191,1.380335456926886e-192
25,0.6187833918061408,6.751548357889585e-191,2.2159403598884855e-192
26,0.6065306597126334,1.059467077884884e-190,3.5012245728908586e-192
27,0.5945205479701944,1.1584703824147778e-190,4.878785299107993e-192
28,0.5827482523739896,4.321450707607638e-190,9.915756776693978e-192
29,0.5712090638488149,5.682788404776476e-190,1.6408310082869387e-191
30,0.559898366565402,7.127781225959696e-190,2.4390508335887884e-191
31,0.5488116360940264,7.142742848858645e-190,3.223107179388863e-191
