n_iterations,n_points,stoch_prior,trapezoid
75000,75,False,True
iteration,prior mass,worst L,evidence
0,1.0132448381928043,0.0,0.0
1,0.9867551618071957,4.1335027019571146e-196,5.47475744569414e-198
2,0.9867551618071957,4.755459507285759e-196,8.582310531156853e-198
3,0.973685749353145,5.853325543028855e-196,1.6181601914105268e-197
4,0.9607894391523232,8.289409727146056e-196,2.680108632250045e-197
5,0.9480639384933955,1.3096958882367635e-195,4.335724942571169e-197
6,0.9355069850316178,1.4305302295768415e-195,6.120139175764792e-197
7,0.9231163463866358,2.1937137646733834e-195,8.820289892522313e-197
8,0.9108898197456121,2.434365473076845e-195,1.1776962465106484e-196
9,0.8988252314716089,2.5259510510510126e-195,1.480423687779495e-196
10,0.8869204367171575,2.741962829536097e-195,1.8046870114136567e-196
11,0.8751733190429475,2.8391449681354364e-195,2.1359960177741656e-196
12,0.8635817900415641,3.2453360751732665e-195,2.509688841535763e-196
13,0.8521437889662113,7.805116729646453e-195,3.396526016757749e-196
14,0.8408572823643508,1.5736376225386835e-194,5.1608511649264375e-196
15,0.8297202637161938,1.782734826945249e-194,7.133137882838133e-196
16,0.8187307530779818,2.5450208143405704e-194,9.911469279293296e-196
17,0.8078867967299912,3.1679019293541034e-194,1.3323978577997031e-195
18,0.7971864668291995,3.2565707253108686e-194,1.6785539954637956e-195
19,0.7866278610665535,7.395965662311499e-194,2.4542933331184476e-195
20,0.7762091023287752,1.4622041128887924e-193,3.9676396945964525e-195
21,0.7659283383646487,1.7256830974918524e-193,5.730024695536116e-195
22,0.7557837414557255,2.313655551900531e-193,8.061591443502755e-195
23,0.7457735080913922,2.3184648387666807e-193,1.036705929383593e-194
24,0.7358958586482417,2.6633713830104535e-193,1.298042201959911e-194
25,0.7261490370736909,3.224967225485891e-193,1.610292366342186e-194
26,0.7165313105737893,4.0959518113866947e-193,2.001620990285228e-194
27,0.7070409693051614,4.1204986117126773e-193,2.390080677622625e-194
28,0.697676326071031,4.416781684103173e-193,2.800957387284582e-194
29,0.6884357160212701,4.975692149256569e-193,3.257696811687198e-194
30,0.679317496356421,7.658130497660136e-193,3.9513576356997234e-194
