n_iterations,n_points,stoch_prior,trapezoid
500000,500,False,True
iteration,prior mass,worst L,evidence
0,1.0019980013326668,0.0,0.0
1,0.9980019986673331,3.869499652271571e-196,7.731265461992571e-199
2,0.9980019986673331,4.0636130421568703e-196,1.178270660824922e-198
3,0.9960079893439915,4.223139652545762e-196,2.019527388472676e-198
4,0.9940179640539353,4.2658154693748463e-196,2.8675873954253004e-198
5,0.9920319148370607,4.76221146257078e-196,3.812441176542136e-198
6,0.9900498337491681,4.776182237652518e-196,4.7581734930987856e-198
7,0.9880717128619305,5.056775967910608e-196,5.757465617727737e-198
8,0.9860975442628619,5.108652454325073e-196,6.764992217352291e-198
9,0.9841273200552851,5.262034806843008e-196,7.800695350319916e-198
10,0.9821610323583008,5.765368092541561e-196,8.933200080861984e-198
11,0.9801986733067553,5.8028505456409415e-196,1.0070790120501929e-197
12,0.97824023505121,5.8322944230186315e-196,1.1211867894672404e-197
13,0.9762857097579093,5.848875568573758e-196,1.2353903383179174e-197
14,0.9743350896087494,5.867474225111367e-196,1.3497281350410983e-197
15,0.9723883668012469,5.928065091923886e-196,1.465015842560083e-197
16,0.9704455335485082,6.072251872034e-196,1.5828717152865658e-197
17,0.9685065820791976,7.239757863661933e-196,1.7231068716489505e-197
18,0.9665715046375066,8.0266139975358495e-196,1.8782729024677752e-197
19,0.9646402934831231,8.3213597746422715e-196,2.03881538819984e-197
20,0.9627129408911995,9.33371606526036e-196,2.2185292928616624e-197
21,0.9607894391523232,9.49177219944431e-196,2.400921304217596e-197
22,0.9588697805724845,9.903538494762579e-196,2.590845506500953e-197
23,0.9569539574730467,1.0311954746605156e-195,2.788206956156122e-197
24,0.9550419621907147,1.0445597932864062e-195,2.987726776090429e-197
25,0.9531337870775047,1.0670262724334114e-195,3.191130670084094e-197
26,0.951229424500714,1.0838510627585418e-195,3.397329012084053e-197
27,0.9493288668428895,1.1723122431347218e-195,3.619911131144288e-197
28,0.9474321065017983,1.1861096188713026e-195,3.844662947928615e-197
29,0.9455391358903963,1.2141215915099664e-195,4.0742629970956847e-197
30,0.9436499474367985,1.2773873752391713e-195,4.315344463716763e-197
31,0.9417645335842487,1.2906918795600748e-195,4.558450192978151e-197
32,0.9398828867910889,1.3377395212899831e-195,4.809914057229563e-197
33,0.9380049995307295,1.3634873807531403e-195,5.0657058237460257e-197
34,0.9361308642916188,1.460171896914679e-195,5.339088401975606e-197
35,0.9342604735772135,1.4857688417458058e-195,5.616707607398127e-197
36,0.9323938199059483,1.4979403379111598e-195,5.896041856352111e-197
37,0.9305308958112057,1.547296722815894e-195,6.184003529439993e-197
38,0.9286716938412872,1.5890096473831671e-195,6.479137382348898e-197
39,0.9268162065593822,1.6052378765223764e-195,6.776689676585786e-197
40,0.9249644265435393,1.6313766329931102e-195,7.078482948143809e-197
41,0.9231163463866358,1.742928889738343e-195,7.40026839240873e-197
42,0.9212719586963487,1.8219532898014547e-195,7.735971511400432e-197
43,0.9194312560951247,2.0563439721430227e-195,8.114105147743635e-197
44,0.9175942312201509,2.1152995280488693e-195,8.502302735389975e-197
45,0.9157608767233256,2.1269591968451725e-195,8.89186019886636e-197
46,0.9139311852712282,2.766666945445653e-195,9.3975691761459e-197
47,0.9121051495450904,2.885242674639837e-195,9.923898467277172e-197
48,0.910282762240767,2.95961249687513e-195,1.0462715674252022e-196
