500,250000,3.7786949049529503e-41
500,250000,9.229394456715359e-42
500,250000,1.578083794544756e-42
500,250000,7.864813919766566e-42
500,250000,2.4413186522338585e-42
500,250000,2.7072568590269104e-40
500,250000,7.719763612569624e-42
500,250000,2.57122681490044e-41
500,250000,1.5955930727626745e-41
500,250000,3.0804669237847705e-41
500,250000,4.461488918006407e-42
500,250000,9.331355973549801e-42
500,250000,3.208697104637544e-40
500,250000,7.729316003635817e-42
500,250000,6.930630126994192e-42
500,250000,5.6799133816875254e-42
500,250000,1.3659613864814935e-41
500,250000,4.2962304378395994e-41
