max_level,L_per_level,levels_finished,lam,beta,quantile,evidence
300,10000,20,10,10,0.05,7.094126257289882e-41
300,10000,19,10,10,0.05,3.34337691084709e-41
300,10000,23,10,10,0.05,5.449095953436258e-42
300,10000,25,10,10,0.05,1.3660475108930613e-40
300,10000,52,10,10,0.05,1.5148725676697463e-41
300,10000,19,10,10,0.05,2.4571392995865806e-40
300,10000,48,10,10,0.05,1.8781161460995303e-39
300,10000,89,10,10,0.05,9.72517430935171e-40
300,10000,0,10,10,0.05,1.5201586487559278e-43
300,10000,1,10,10,0.05,4.641816468085118e-41
300,10000,85,10,10,0.05,1.5691201406555831e-40
300,10000,0,10,10,0.05,1.044211372428331e-40
300,10000,33,10,10,0.05,3.272462841330982e-42
300,10000,68,10,10,0.05,7.686380438729609e-45
300,10000,27,10,10,0.05,1.1195611760124975e-42
300,10000,46,10,10,0.05,1.7233945981650932e-42
300,10000,0,10,10,0.1,1.069406416047292e-40
300,10000,0,10,10,0.1,7.234406065955124e-44
300,10000,0,10,10,0.1,1.8686243252515584e-43
300,10000,0,10,10,0.1,3.060493077755233e-40
300,10000,0,10,10,0.1,1.2962699545851765e-42
300,10000,0,10,10,0.1,1.0308789376354188e-38
300,10000,0,10,10,0.1,3.5925093075248394e-42
300,10000,0,10,10,0.1,1.003998577643772e-42
300,10000,0,10,10,0.1,1.2493832682912968e-41
300,10000,0,10,10,0.1,1.1561378764130215e-42
300,10000,0,10,10,0.1,1.4396033613454262e-41
300,10000,0,10,10,0.1,2.1322827440086702e-43
300,10000,0,10,10,0.1,5.05137694228469e-43
300,10000,0,10,10,0.1,8.049541755809129e-43
300,10000,0,10,10,0.1,2.0727020228327598e-43
300,10000,0,10,10,0.1,6.608474566486639e-42
300,10000,0,10,10,0.2,4.810794973086663e-41
300,10000,0,10,10,0.2,5.904681275044697e-41
300,10000,0,10,10,0.2,5.612218679701641e-42
300,10000,0,10,10,0.2,2.805053758709299e-43
300,10000,0,10,10,0.2,2.374168037827478e-40
300,10000,0,10,10,0.2,1.3364502630360955e-40
