max_level,L_per_level,max_points,C1,lam,beta,quantile
100,100,500,10,10,10,0.36787944117144233
iteration,level,prior mass,likelihood,evidence
0,0,0.34571625243307247,0.0,0.0
1,0,0.21872347530240233,5.45301705827959e-187,0.0
2,1,0.10284158804803235,1.0970608090379366e-182,1.1927028418701944e-187
3,2,0.04257122312272008,5.270323089802628e-180,1.1283540281513926e-183
4,3,0.01669477299350022,1.631227469120045e-178,2.2549245421296258e-181
5,4,0.0023972888924638355,3.025650646979529e-162,2.9487896839850666e-180
6,5,0.0023972888924638355,7.680147962665791e-162,7.253358688480045e-165
7,5,0.0023972888924638355,5.143303833123407e-159,2.56648920918575e-164
8,6,0.0003313075307638008,6.211600674437906e-156,1.235565004180527e-161
9,7,0.0003313075307638008,7.840306848346907e-155,2.0703057315805874e-159
10,8,4.518799585383954e-05,1.5628694112172212e-142,2.8045832755143895e-158
11,9,1.665383666998147e-05,6.84547284319822e-140,7.06229364744569e-147
12,10,6.1334025021660765e-06,4.8242698068054224e-138,1.147096160241614e-144
13,11,2.257888060905905e-06,6.3759975708291935e-136,3.0736284664426244e-143
14,12,3.0577779777737696e-07,1.862776494616936e-127,1.4703651638184552e-141
15,13,3.0577779777737696e-07,5.374830873721753e-120,5.695957089790802e-134
16,14,1.1250705193939468e-07,3.48382917996494e-112,1.6435040049520634e-126
17,15,4.139614417427108e-08,6.292652351350071e-110,3.9195536693333435e-119
18,16,1.5228545320808773e-08,6.145870673169677e-104,2.6441109764438683e-117
19,17,5.60247248070241e-09,8.739337005286199e-103,9.359293449329159e-112
20,18,5.60247248070241e-09,4.115857194373141e-102,5.83211885210293e-111
21,19,2.0610804585498577e-09,1.114111379810238e-100,2.8891095518079487e-110
22,20,7.58255320636618e-10,1.734363703812889e-98,2.585184148755695e-109
23,21,7.58255320636618e-10,1.6959057543454425e-97,1.3409423478227116e-107
24,19,1.0261842206880284e-10,6.038875524964414e-95,1.4200237963129602e-106
25,22,3.775115510049072e-11,2.229672947623272e-94,6.339001154048912e-105
26,23,3.775115510049072e-11,6.303730388077449e-94,1.4756274080958358e-104
27,23,1.3887900877191049e-11,2.163010257924476e-93,3.8553584440157193e-104
28,24,5.109079319508671e-12,1.5744583293238082e-89,6.859325649855976e-104
29,25,1.8795266239148338e-12,6.27786434418889e-89,8.050891815426297e-101
30,26,2.543665548176112e-13,2.9540518888088836e-84,1.9850304991654955e-100
31,27,2.543665548176112e-13,3.473582270171913e-84,7.516105047586893e-97
32,28,9.357621854873893e-14,3.66079932279876e-82,1.6351736596978557e-96
33,29,3.442476712435122e-14,1.6310769644986894e-81,3.589154940902708e-95
34,30,3.442476712435122e-14,1.9616777445905463e-81,9.204099407378815e-95
35,31,4.6588861451034025e-15,2.847925878743824e-79,1.5957129360434024e-94
36,32,4.6588861451034025e-15,7.682950029290099e-79,1.4863875354804437e-93
37,33,4.6588861451034025e-15,1.6846237653741908e-78,5.065786479978586e-93
38,33,4.6588861451034025e-15,6.4412062763392295e-78,1.291425680019233e-92
39,32,4.6588861451034025e-15,1.1505064715968778e-77,4.2923103478782245e-92
40,32,1.713908365831988e-15,1.257489502526657e-77,9.65238900825272e-92
41,33,1.713908365831988e-15,6.755703304565752e-77,1.1807610786579062e-91
42,33,1.713908365831988e-15,8.230569668353934e-77,2.338626719735311e-91
43,33,1.713908365831988e-15,3.3181685075780205e-76,3.749270940750793e-91
44,32,6.305116674208811e-16,1.2764123744394687e-72,9.436307705129005e-91
45,34,2.31952279672767e-16,1.861883222862928e-71,8.057365252949883e-88
46,35,2.31952279672767e-16,5.482868764279539e-71,5.124417105570335e-87
47,36,3.1391327749529916e-17,1.6720810519796914e-66,1.78420561957828e-86
48,37,3.1391327749529916e-17,5.542354328846868e-66,5.250668638266904e-83
49,38,4.248354255290735e-18,6.262086045119703e-63,2.2648854762352697e-82
50,39,1.5628821882938692e-18,1.4582353133918142e-62,2.683004844440455e-80
51,40,1.5628821882938692e-18,3.597175849324876e-62,4.96205484208165e-80
52,40,1.5628821882938692e-18,3.912288605006746e-62,1.0584016905152369e-79
53,41,5.749522262323231e-19,6.8012159723700905e-59,1.6698463081382482e-79
54,42,5.749522262323231e-19,7.705655936181824e-59,3.927072727482399e-77
55,43,2.1151310370759262e-19,8.909509908411886e-59,8.357456762570455e-77
56,44,2.1151310370759262e-19,1.255748511625265e-57,1.0241934855812202e-76
57,44,7.781132240442537e-20,5.27003815907568e-57,3.680266137281718e-76
58,45,7.781132240442537e-20,6.102386792937435e-57,7.780952520076339e-76
59,46,7.781132240442537e-20,9.43872780718651e-57,1.252930038189396e-75
60,47,7.781132240442537e-20,1.1448880329834713e-56,1.9873699306820003e-75
61,47,7.781132240442537e-20,1.3500927668427382e-56,2.878222449196453e-75
62,46,2.862518580516012e-20,1.8183961633738238e-56,3.9287474847632827e-75
63,47,2.862518580516012e-20,3.047579071742186e-56,4.449266765202942e-75
64,43,2.862518580516012e-20,5.021409196875132e-56,5.321641937048317e-75
65,42,2.862518580516012e-20,5.973095030432263e-56,6.759029649691222e-75
66,44,2.862518580516012e-20,7.384495920151413e-56,8.4688392004712425e-75
67,47,2.862518580516012e-20,8.73260919052869e-56,1.0582664878389053e-74
68,47,2.862518580516012e-20,1.0520308703942707e-55,1.308239048481638e-74
69,41,1.0530617356396791e-20,3.6382803621973334e-55,1.6093848398596412e-74
70,43,1.0530617356396791e-20,1.812525156075634e-54,1.99251822315557e-74
71,44,3.8739976286871936e-21,5.055584475432626e-54,3.901219109903157e-74
72,44,3.8739976286871936e-21,1.4062284383888131e-53,5.8597513368485354e-74
73,47,3.8739976286871936e-21,1.6196773446792836e-53,1.1307476972559292e-73
74,47,3.8739976286871936e-21,7.822242769400965e-53,1.7582103165085206e-73
75,46,1.425164082681922e-21,1.0266812681401024e-52,4.788545310476009e-73
76,44,1.425164082681922e-21,1.1614489622639976e-52,6.25173457819161e-73
77,43,1.425164082681922e-21,1.3828388777903677e-52,7.906989923078451e-73
78,46,1.425164082681922e-21,1.520052251783453e-52,9.877762223841459e-73
79,46,1.425164082681922e-21,4.0494918373507525e-52,1.2044086096883013e-72
80,43,1.425164082681922e-21,9.566392926425707e-52,1.781527641658893e-72
81,44,1.425164082681922e-21,3.3908631600551574e-51,3.144895601615325e-72
82,47,1.425164082681922e-21,1.1791181676908103e-49,7.977431986615256e-72
83,45,1.425164082681922e-21,7.119751880867999e-49,1.7602111816968147e-70
84,47,1.425164082681922e-21,4.73740738511347e-48,1.1907025839916944e-69
85,48,5.242885663363472e-22,7.421229385639833e-48,7.942285434287495e-69
86,49,7.095474162216734e-23,7.440204181101808e-45,1.1833151149337775e-68
87,48,7.095474162216734e-23,2.2466076673016375e-44,5.3975091643558575e-67
88,50,2.610279069652356e-23,2.951544441797945e-43,2.1338255820332635e-66
89,51,2.610279069652356e-23,8.517775519534344e-43,9.838180261607186e-66
90,52,3.532628572192983e-24,9.534945258799035e-40,3.2071951420244907e-65
91,53,1.299581425005737e-24,1.4340431817647602e-38,3.4004139569731935e-63
92,54,1.299581425005737e-24,1.186105815012837e-37,2.2036972773749275e-62
93,55,4.780892883885468e-25,3.068053217316535e-37,1.7618108130194663e-61
94,56,4.780892883885468e-25,5.403829241563678e-37,3.22861419242452e-61
95,55,4.780892883885468e-25,3.200038912815092e-36,5.8121270690969194e-61
96,55,6.470234925643435e-26,1.4198231295155277e-34,2.111117033553118e-60
97,57,2.3802664086939452e-26,1.546400647448164e-33,1.1297706234380848e-59
98,58,2.3802664086939452e-26,4.525594312352265e-33,4.810616138941518e-59
99,59,3.221340285992288e-27,5.145522609762678e-32,1.5582736260009987e-58
100,60,1.1850648642339304e-27,6.393630002668183e-32,3.215821553532268e-58
101,61,1.1850648642339304e-27,1.2773427897843102e-31,3.9735081806396634e-58
102,62,4.359610000062996e-28,1.7716630585905633e-31,5.487242240395597e-58
103,63,2.1705220113036305e-29,4.100707719647565e-30,6.2596182390929585e-58
104,64,2.1705220113036305e-29,6.81873143892816e-30,7.149685875834734e-58
105,65,7.984904245686967e-30,1.333114383907223e-29,8.6297065435709e-58
106,66,7.984904245686967e-30,3.367756265236263e-29,9.694185613975615e-58
107,67,1.0806392777072797e-30,2.6324014809824135e-28,1.2383306744048007e-57
108,68,1.0806392777072797e-30,3.578629860766883e-28,1.5227983179092416e-57
