iteration,level,prior mass,likelihood,evidence
0,0,0.0007165371537553034,0.0,0.0
1,0,0.0009071106207071661,9.761921925576594e-196,0.0
2,0,0.0009071106207071661,1.3126530992643292e-195,8.855143057204678e-199
3,0,0.0009071106207071661,2.072091380382673e-195,2.0762358733673188e-198
4,0,0.0009071106207071661,5.764614844368077e-195,3.955851971588214e-198
5,0,0.0009071106207071661,3.045315132529465e-194,9.184995321200684e-198
6,0,0.0009071106207071661,3.407734937362743e-194,3.6809372322377973e-197
7,0,0.0009071106207071661,6.903676116766719e-193,6.772129786474411e-197
8,0,0.0009071106207071661,8.36368301600815e-193,6.939610906088937e-196
9,0,0.0009071106207071661,3.700822377958474e-192,1.4526396598138073e-195
10,0,0.0009071106207071661,7.173485397996699e-192,4.8096949442106885e-195
11,0,0.0009071106207071661,1.733353373895241e-191,1.1316839736221267e-194
12,0,0.0009071106207071661,3.038460165746509e-191,2.7040272285210993e-194
13,0,0.0009071106207071661,3.63632884300136e-191,5.460246715465414e-194
14,0,0.0009071106207071661,4.42988033515257e-191,8.758799229335749e-194
15,0,0.0009071106207071661,2.1303806191532166e-189,1.2777190729814466e-193
16,0,0.0009071106207071661,6.146094301287122e-188,2.060262793080736e-192
17,0,0.0009071106207071661,8.557098476835946e-188,5.781213695873412e-191
18,0,0.0009071106207071661,1.5151435922564712e-187,1.3543448606648413e-190
19,0,0.0009071106207071661,7.47046509837797e-187,2.728747705097094e-190
20,0,0.0009071106207071661,1.287017737532335e-186,9.505285937457956e-190
21,1,0.0004988298708229579,1.1553203013676878e-185,2.1179960524998845e-189
22,1,0.0004988298708229579,2.2552082342414674e-185,7.881078819403729e-189
23,1,0.0004988298708229579,2.3368879246445967e-185,1.9130731141059152e-188
24,1,0.0004988298708229579,3.7001350305365255e-185,3.07878261568411e-188
25,1,0.0004988298708229579,6.013336306015545e-185,4.924520494994146e-188
26,1,0.0004988298708229579,2.0199358949589238e-184,7.924152267738884e-188
27,1,0.0004988298708229579,5.336764852411801e-184,1.8000195883269042e-187
28,1,0.0004988298708229579,4.884762342850569e-183,4.4621573102679853e-187
29,1,0.0004988298708229579,5.971832793206416e-183,2.882881099511797e-186
30,1,0.0004988298708229579,1.3058462406836415e-182,5.861809680323257e-186
31,1,0.0004988298708229579,1.684744671975579e-182,1.2375760795871918e-185
32,1,0.0004988298708229579,3.0932656531704754e-182,2.0779770466784364e-185
33,1,0.0004988298708229579,6.415230161678811e-182,3.620990352870557e-185
34,1,0.0004988298708229579,7.079187177445514e-182,6.821098785720341e-185
35,1,0.0004988298708229579,7.325920745626304e-182,1.0352408810977027e-184
36,1,0.0004988298708229579,1.9199774297655057e-181,1.4006796910177023e-184
37,1,0.0004988298708229579,5.429607689963818e-181,2.358421784290624e-184
38,1,0.0004988298708229579,9.533595247928778e-181,5.066872286894614e-184
39,1,0.0004988298708229579,1.6231104688016426e-180,9.822514372897291e-184
40,1,0.00024050685059870663,2.769986699315083e-180,1.791907422773443e-183
41,2,0.00024050685059870663,4.691925285315039e-180,2.4581082000260204e-183
42,2,0.00024050685059870663,1.102822490391357e-179,3.5865483736415782e-183
43,2,0.00024050685059870663,1.8271724387874674e-179,6.238912012976055e-183
44,2,0.00024050685059870663,5.1683878674241125e-179,1.0633386900511372e-182
45,2,0.00024050685059870663,1.4284689566243049e-178,2.306371378717876e-182
46,2,0.00024050685059870663,2.1650148252462804e-178,5.741937078075196e-182
47,2,0.00024050685059870663,3.3184236666766024e-178,1.0948946049270116e-181
48,2,0.00024050685059870663,3.943671768157843e-178,1.8929982299516135e-181
49,2,0.00024050685059870663,4.3273918901275324e-178,2.841478306706289e-181
