max_level,L_per_level,max_points,C1,lam,beta,quantile
100,200,1000,20,10,10,0.36787944117144233
iteration,level,prior mass,likelihood,evidence
0,0,0.31935138086755266,0.0,0.0
1,0,0.2189805349496344,5.032709564593012e-190,0.0
2,0,0.1065099660878464,3.5598538627964656e-188,1.1020654327007194e-190
3,1,0.1065099660878464,6.285310944446926e-186,3.9018056853114776e-189
4,1,0.04282080085134202,7.002550724289884e-182,6.733500612299234e-187
5,2,0.04282080085134202,2.3101899553545126e-181,2.999221650223609e-183
6,2,0.01673408875017222,4.3933154410492706e-181,1.2891640050924238e-182
7,3,0.01673408875017222,1.0321329178090922e-180,2.024345310072629e-182
8,3,0.01673408875017222,1.5417797077642095e-180,3.751525694931785e-182
9,4,0.006376346281369721,3.912532442202189e-177,6.331553541225871e-182
10,4,0.006376346281369721,4.900919757263342e-177,2.501097722398658e-179
11,5,0.0024287894241252317,8.469713069536231e-175,5.626093869350409e-179
12,5,0.0008936403325568429,6.969806318183061e-172,2.1133758915599895e-177
13,6,0.00033155500412936014,7.336797953020002e-168,6.249633794953495e-175
14,6,0.00033155500412936014,7.522444219985938e-168,2.433177038989323e-171
15,7,0.00033155500412936014,2.5417232813562786e-166,4.927281063409642e-171
16,7,0.00033155500412936014,1.4710522821714018e-163,8.919938836798681e-170
17,8,0.00012248135942829756,3.248744823076608e-162,4.886267393735236e-167
18,8,0.00012248135942829756,5.7330917925593e-162,4.4677335630341936e-166
19,9,4.519046924316941e-05,1.2211397798759686e-159,1.1489702327832978e-165
20,9,4.519046924316941e-05,5.109852556489477e-159,5.6332849896878925e-164
21,10,4.519046924316941e-05,1.2762084880211729e-157,2.872494846880472e-163
22,10,4.519046924316941e-05,3.0021386232994374e-157,6.054495527267303e-162
23,11,4.519046924316941e-05,5.226495722665021e-157,1.962130083926172e-161
24,11,1.6687270237994127e-05,1.5832666031087403e-156,4.324008025972673e-161
25,11,1.6687270237994127e-05,2.6733407346555156e-156,6.9660477924593274e-161
26,12,1.6687270237994127e-05,5.65510387289441e-155,1.1427123720202761e-160
27,12,1.6687270237994127e-05,8.344379534820929e-155,1.0579537027111897e-159
28,12,6.1442007989459225e-06,3.2067888599112176e-154,2.4504028653706355e-159
29,12,6.1442007989459225e-06,6.818191044046257e-154,4.4207183328823743e-159
30,9,6.1442007989459225e-06,9.018024021734743e-154,8.609951818901869e-159
31,11,6.1442007989459225e-06,2.6165162744060945e-153,1.4150806858827482e-158
32,9,6.1442007989459225e-06,1.1372140646102951e-152,3.0227208242488414e-158
33,11,6.1442007989459225e-06,1.5740212504253036e-150,1.0009992388599957e-157
34,7,6.1442007989459225e-06,1.9678011737869072e-150,9.77120254830701e-156
35,9,2.2579242654480858e-06,6.0321443554297914e-145,2.186176809245525e-155
36,11,2.2579242654480858e-06,7.447156088751143e-145,1.3620343730491552e-150
37,9,2.2579242654480858e-06,2.0265356363591254e-142,3.0435458171862215e-150
38,11,2.2579242654480858e-06,3.174807158859304e-142,4.6061994463024096e-148
39,11,2.2579242654480858e-06,7.183717543181275e-137,1.1774673568409128e-147
40,12,8.309861103546516e-07,6.872989928609464e-134,1.622040790360979e-142
41,13,8.309861103546516e-07,8.46039528219108e-134,5.727579575185483e-140
42,13,3.057799059784538e-07,2.4026232522803147e-129,1.2758050542796294e-139
43,14,1.1251013182436178e-07,5.8084643513816644e-127,7.348014926893496e-136
44,14,1.1251013182436178e-07,3.300236550353978e-126,6.608591047979506e-134
45,15,1.1251013182436178e-07,1.6921663614662468e-119,4.3739595981169816e-133
46,15,4.139356284909738e-08,3.569282180195963e-118,1.9038590413691403e-126
47,16,4.139356284909738e-08,8.0740566213028065e-115,1.667838966657963e-125
48,16,4.139356284909738e-08,6.822186297158548e-112,3.3438075409773437e-122
49,17,1.5228574113449224e-08,4.2369549812596524e-110,2.82728978013781e-119
50,17,1.5228574113449224e-08,1.4258601840368084e-109,6.735007272759829e-118
51,18,5.602781108218712e-09,2.2008325222632707e-108,2.8448824760780714e-117
52,18,5.602781108218712e-09,4.340377119823022e-107,1.5175665354168062e-116
53,19,2.061132430273712e-09,2.9436081941582926e-106,2.583574946490598e-115
54,19,2.061132430273712e-09,9.23380922105565e-105,8.650741257489693e-115
55,19,7.582399025555862e-10,3.687129960156525e-102,1.9897177766227214e-113
56,20,7.582399025555862e-10,2.3481682651391176e-101,2.815626239465093e-111
57,20,7.582399025555862e-10,3.155347906837962e-101,2.062037500489714e-110
58,20,7.582399025555862e-10,3.517415148363264e-98,4.454548189899503e-110
59,21,2.7894646327160986e-10,5.962782227677119e-97,2.6714990675324036e-107
60,21,1.0261797482721407e-10,2.110575830955309e-95,1.9304469204225837e-106
61,22,3.775116011167882e-11,1.522917699567148e-93,2.358874866961242e-105
62,22,3.775116011167882e-11,2.1809401035969286e-93,5.985078478023022e-104
63,23,3.775116011167882e-11,2.2595901801123058e-92,1.4218380382509926e-103
64,23,3.775116011167882e-11,3.748791115701108e-92,9.952053105870676e-103
65,24,1.3887902053585557e-11,3.1686602579327955e-85,2.4104174469277836e-102
66,24,5.109079595263033e-12,9.153317128110007e-76,4.400606740743428e-96
67,25,1.87952668846475e-12,2.078699131780892e-75,4.676502581220453e-87
68,25,1.87952668846475e-12,3.779808332825819e-75,8.583473076691145e-87
69,26,6.914395305926478e-13,3.95466224421584e-74,1.5687723715518725e-86
70,26,6.914395305926478e-13,6.162947332786995e-73,4.30318217734494e-86
71,27,6.914395305926478e-13,1.4243525136356357e-72,4.691623628583945e-85
72,27,2.5436645642506233e-13,2.698929346625153e-70,1.4540159962850766e-84
73,28,2.5436645642506233e-13,1.2922592380869308e-69,7.010572540054998e-83
74,28,9.357621256900247e-14,6.434039113634213e-68,3.988131285752735e-82
75,29,9.357621256900247e-14,4.598716138063809e-67,6.419543246322388e-81
76,29,3.442476557191029e-14,2.8357940901812406e-66,4.94525871343185e-80
77,30,3.442476557191029e-14,6.486687173183009e-66,1.4707413389901634e-79
78,30,3.442476557191029e-14,2.3560656168836435e-65,3.703768191741589e-79
79,30,1.2664164305388664e-14,6.708589287852183e-64,1.1814468845067354e-78
80,31,1.2664164305388664e-14,7.428629389616543e-64,9.677314584379773e-78
81,31,4.6588858645188755e-15,6.697422486983402e-63,1.9085052899774073e-77
82,32,4.6588858645188755e-15,1.2532729239138283e-62,5.02875798530919e-77
83,32,1.7139083682411168e-15,6.666982426476837e-62,1.0867613494915564e-76
84,33,1.7139083682411168e-15,1.518051069247316e-61,2.229421046657068e-76
85,33,6.305116760120358e-16,2.614236296570715e-61,4.831221477657418e-76
86,34,6.305116760120358e-16,9.516777745527059e-61,6.479527986499717e-76
87,34,2.319522798025305e-16,5.577159456224438e-60,1.2479967473066025e-75
88,35,2.319522798025305e-16,1.3398668580460971e-58,2.541631598000102e-75
89,35,2.319522798025305e-16,1.6768910704158737e-58,3.3620148833564675e-74
90,35,2.319522798025305e-16,4.628850941006429e-58,7.251601950991145e-74
91,36,8.533047623804432e-17,9.75628134725392e-58,1.7988327237316443e-73
92,36,8.533047623804432e-17,5.011508644777923e-57,2.63134085740517e-73
93,37,8.533047623804432e-17,6.882625180309264e-57,6.907685050704932e-73
94,37,3.1391327910725254e-17,1.3835952203197822e-56,1.2780661894742382e-72
95,36,1.1548224136021005e-17,4.805474514192994e-55,1.7123951020419426e-72
96,38,1.1548224136021005e-17,1.2036314474857485e-54,7.261864779025677e-72
97,38,4.2483542469454336e-18,5.644605726235767e-54,2.1161670511754496e-71
98,39,4.2483542469454336e-18,7.508319535131922e-54,4.5141955221140735e-71
99,39,1.5628821874520664e-18,3.908291030943119e-53,7.70399564056418e-71
100,40,1.5628821874520664e-18,2.1326688227981782e-51,1.3812194076203854e-70
101,40,5.749522260045621e-19,1.3787513082299948e-50,3.4712320556476785e-69
102,41,2.115131036632731e-19,4.556380294204103e-50,1.1398393393383055e-68
103,41,7.781132238971731e-20,7.809940847490307e-49,2.1035734768355928e-68
104,42,7.781132238971731e-20,8.053912592787046e-49,8.180591728122496e-68
105,42,2.862518580061625e-20,1.1532232108960086e-47,1.4447447620682064e-67
106,43,2.862518580061625e-20,2.478180470537856e-47,4.7458676302163565e-67
107,43,2.862518580061625e-20,4.374390838090487e-47,1.1839705271876829e-66
108,44,2.862518580061625e-20,6.654932154474431e-47,2.436148032236219e-66
