max_level,L_per_level,levels_finished,lam,beta,quantile,evidence
100,1000000,1000090,10,10,0.36787944117144233,9.197555745444629e-42
100,1000000,1000069,10,10,0.36787944117144233,8.190938431055091e-42
100,1000000,1000092,10,10,0.36787944117144233,9.138717831768826e-42
100,1000000,1000101,10,10,0.36787944117144233,6.855247227341508e-42
100,1000000,1000107,10,10,0.36787944117144233,9.896499879051619e-42
100,1000000,1000087,10,10,0.36787944117144233,9.689301912467744e-42
100,1000000,1000074,10,10,0.36787944117144233,9.967399412284527e-42
100,1000000,1000088,10,10,0.36787944117144233,1.2315861496976152e-41
100,1000000,1000131,10,10,0.36787944117144233,8.085148155108167e-42
100,1000000,1000099,10,10,0.36787944117144233,6.971856802847935e-42
100,1000000,1000073,10,10,0.36787944117144233,7.87123807819308e-42
100,1000000,1000093,10,10,0.36787944117144233,1.1345163070217148e-41
100,1000000,1000052,10,10,0.36787944117144233,8.98487427489402e-42
100,1000000,1000086,10,10,0.36787944117144233,7.12169380735022e-42
100,1000000,1000113,10,10,0.36787944117144233,9.804932423924801e-42
100,1000000,1000112,10,10,0.36787944117144233,1.1455621038244022e-41
