max_level,L_per_level,max_points,C1,lam,beta,quantile
100,2000,10000,200,2,10,0.36787944117144233
iteration,level,prior mass,likelihood,evidence
0,0,0.0001557354913569453,0.0,0.0
1,0,0.0001397012878639573,1.0037129552468233e-195,0.0
2,0,0.0001397012878639573,1.6183643897404372e-195,1.4021999249371975e-199
3,0,0.0001397012878639573,3.933820789228375e-195,3.6630758197362615e-199
4,0,0.0001397012878639573,4.9724338408659676e-195,9.158674124548391e-199
5,0,0.0001397012878639573,5.538122158352868e-195,1.6105228238421385e-198
6,0,0.0001397012878639573,6.4278801183319246e-195,2.384205621711953e-198
7,0,0.0001397012878639573,6.935167810253637e-195,3.2821887524780492e-198
8,0,0.0001397012878639573,7.659484564765244e-195,4.251040627123143e-198
9,0,0.0001397012878639573,1.0471384314478193e-194,5.32108048519495e-198
10,0,0.0001397012878639573,2.844254726595275e-194,6.783946359645996e-198
11,0,0.0001397012878639573,4.6501366727898184e-194,1.0757406842831073e-197
12,0,0.0001397012878639573,5.448356722113005e-194,1.7253707662152623e-197
13,0,0.0001397012878639573,5.572587770351425e-194,2.486513217036698e-197
14,0,0.0001397012878639573,7.063519078490443e-194,3.2650109052897307e-197
15,0,0.0001397012878639573,9.851225466104215e-194,4.2517936174064785e-197
16,0,0.0001397012878639573,1.5116150693134961e-193,5.62802250205945e-197
17,0,0.0001397012878639573,2.192878557154987e-193,7.739768221436055e-197
18,0,0.0001397012878639573,3.1406949151544614e-193,1.0803247807074136e-196
19,0,0.0001397012878639573,3.27959980259323e-193,1.5190839051422741e-196
20,0,0.0001397012878639573,3.311850832166907e-193,1.9772482212429286e-196
21,0,0.0001397012878639573,3.9098092309434306e-193,2.439918047709964e-196
22,1,0.0001397012878639573,3.9996781563043243e-193,2.98612343257515e-196
23,1,0.0001397012878639573,4.970934565152606e-193,3.5448836220522023e-196
24,1,0.0001397012878639573,5.26143012192742e-193,4.239329582691482e-196
25,1,0.0001397012878639573,8.688556555508518e-193,4.97435814673096e-196
26,1,0.0001397012878639573,9.948968083438847e-193,6.188160687214329e-196
27,1,0.0001397012878639573,3.1598719044862485e-192,7.578044341388143e-196
28,1,0.0001397012878639573,4.186526681267109e-192,1.1992426086806787e-195
29,1,0.0001397012878639573,5.1352917490230385e-192,1.784105777730513e-195
30,1,0.0001397012878639573,1.6655939429815886e-191,2.501512648626185e-195
31,1,0.0001397012878639573,1.7593375892161596e-191,4.828368837555531e-195
32,1,0.0001397012878639573,2.394756931431035e-191,7.286186107565205e-195
33,1,0.0001397012878639573,2.995070483135269e-191,1.0631692381985746e-194
34,1,0.0001397012878639573,5.075674452662567e-191,1.4815844419358967e-194
35,1,0.0001397012878639573,5.949370498914724e-191,2.1906626997510438e-194
36,1,0.0001397012878639573,6.15321000332175e-191,3.021797420429265e-194
37,1,0.0001397012878639573,8.629492558648478e-191,3.881408782390698e-194
38,1,0.0001397012878639573,1.1789258650298224e-190,5.086960006446327e-194
39,1,0.0001397012878639573,1.0730767508200688e-189,6.733934622854287e-194
40,1,0.0001397012878639573,1.2031492561548447e-189,2.172495502949773e-193
41,1,0.0001397012878639573,1.9384359819688425e-189,3.8533105087237134e-193
42,2,8.612347760386698e-05,2.8962027939079467e-189,6.561330539952534e-193
43,2,8.612347760386698e-05,3.448422336710402e-189,9.055641104526414e-193
44,2,8.612347760386698e-05,3.613043384098788e-189,1.2025542343369943e-192
45,2,8.612347760386698e-05,8.18069443414239e-189,1.5137220953092261e-192
46,2,8.612347760386698e-05,4.045172394219985e-188,2.2182719491921674e-192
