max_level,L_per_level,max_points,C1,lam,beta,quantile
100,2000,10000,200,2,10,0.36787944117144233
iteration,level,prior mass,likelihood,evidence
0,0,0.00024617798665171886,0.0,0.0
1,0,0.00017791123560334247,6.582398890763168e-196,0.0
2,0,0.00017791123560334247,1.6530911053057119e-195,1.171082719889746e-199
3,0,0.00017791123560334247,4.1520611472661166e-195,4.112117530988089e-199
4,0,0.00017791123560334247,5.559592106946661e-195,1.1499100821095554e-198
5,0,0.00017791123560334247,7.486173252407612e-195,2.139023983307026e-198
6,0,0.00017791123560334247,1.2576789522150638e-194,3.470898316583558e-198
7,0,0.00017791123560334247,1.5969620474284508e-194,5.708450480392549e-198
8,0,0.00017791123560334247,1.716290924993588e-194,8.549625391088943e-198
9,0,0.00017791123560334247,1.8781718199547945e-194,1.1603099782293071e-197
10,0,0.00017791123560334247,2.582495013163884e-194,1.494457847392843e-197
11,0,0.00017791123560334247,2.906840795815966e-194,1.9539127261243e-197
12,0,0.00017791123560334247,7.900383107135198e-194,2.4710723638101217e-197
13,0,0.00017791123560334247,1.0323590720839849e-193,3.8766392841403184e-197
14,0,0.00017791123560334247,1.1445098995392903e-193,5.713322065148137e-197
15,0,0.00017791123560334247,1.462367958809152e-193,7.749533769021062e-197
16,0,0.00017791123560334247,2.1483422305245324e-193,1.0351250673605803e-196
17,0,0.00017791123560334247,2.8334112670570125e-193,1.4173392880920407e-196
18,0,0.00017791123560334247,2.8491670768537837e-193,1.9214349875865859e-196
19,0,0.00017791123560334247,3.226315865059482e-193,2.428333822670006e-196
20,0,0.00017791123560334247,6.810027360795268e-193,3.002331664669405e-196
21,0,0.00017791123560334247,1.1649966892661416e-192,4.2139120469210606e-196
22,0,0.00017791123560334247,1.968482241166206e-192,6.286572051532486e-196
23,1,0.00017791123560334247,2.8093694773444618e-192,9.78872312942365e-196
24,1,0.00017791123560334247,8.65949548321165e-192,1.4786907079230346e-195
25,1,0.00017791123560334247,9.310185989322261e-192,3.0193122490427825e-195
26,1,0.00017791123560334247,2.840783000080046e-191,4.6756989421000335e-195
27,1,0.00017791123560334247,6.631010181070057e-191,9.729771078352145e-195
28,1,0.00017791123560334247,8.24115838480896e-191,2.152708322447732e-194
29,1,0.00017791123560334247,1.4835941082757848e-190,3.61890299349194e-194
30,1,0.00017791123560334247,7.060681764720243e-190,6.25838360286378e-194
31,1,0.00017791123560334247,1.2318925057106413e-189,1.882012977249745e-193
32,1,0.00017791123560334247,1.4392119230883427e-189,4.073688155464523e-193
33,1,0.00017791123560334247,1.5924220923513742e-189,6.634207870781621e-193
34,1,0.00017791123560334247,3.461080962783021e-189,9.467305691304549e-193
35,1,0.00017791123560334247,8.142146943314194e-189,1.5624957597423884e-192
36,1,0.00017791123560334247,8.224943225926391e-189,3.0110751828913946e-192
37,1,8.983721806969547e-05,1.1754643174051065e-187,4.4743849949833e-192
38,1,8.983721806969547e-05,1.184412897310136e-187,1.503442941657013e-191
39,1,8.983721806969547e-05,2.692962181456964e-187,2.567486539059118e-191
40,1,8.983721806969547e-05,2.737210766531485e-187,4.9867688465490386e-191
41,1,8.983721806969547e-05,4.081915594791588e-187,7.445802851905112e-191
42,1,8.983721806969547e-05,5.972299605919893e-187,1.1112882266218938e-190
43,2,8.983721806969547e-05,6.271570865783853e-187,1.6478230086964754e-190
44,2,8.983721806969547e-05,6.69023092283446e-187,2.211243488205448e-190
45,2,8.983721806969547e-05,8.39752518836305e-187,2.8122752225567474e-190
46,2,8.983721806969547e-05,5.267026529323593e-186,3.566685524149479e-190
47,2,8.983721806969547e-05,6.692658215025061e-186,8.298435633086628e-190
48,2,8.983721806969547e-05,1.0011545179532509e-185,1.4310933588378081e-189
49,2,8.983721806969547e-05,1.2570878467983105e-185,2.3305027263460786e-189
50,2,8.983721806969547e-05,1.4744424277441218e-185,3.4598354766019164e-189
51,2,8.983721806969547e-05,1.9329806643593767e-185,4.784433535726515e-189
52,2,8.983721806969547e-05,2.7350955015472373e-185,6.520969590412097e-189
53,2,8.983721806969547e-05,4.827091031023064e-185,8.978103300551519e-189
54,2,8.983721806969547e-05,6.725145317169866e-185,1.3314627596514419e-188
55,2,8.983721806969547e-05,2.019202887235248e-184,1.9356311060604224e-188
56,2,8.983721806969547e-05,2.8270119151701935e-184,3.749626807135539e-188
57,2,8.983721806969547e-05,3.310767448238784e-184,6.28933566622326e-188
58,2,8.983721806969547e-05,4.37742727458769e-184,9.263637038478029e-188
59,2,8.983721806969547e-05,6.233280100143308e-184,1.3196195924991698e-187
60,2,8.983721806969547e-05,7.635844110291174e-184,1.8796001361452375e-187
61,2,8.983721806969547e-05,8.347025413426676e-184,2.5655831286276654e-187
62,2,8.983721806969547e-05,8.7161332070767e-184,3.315456670926968e-187
63,3,8.983721806969547e-05,8.918360914564877e-184,4.0984898305756315e-187
64,3,8.983721806969547e-05,3.2460851486531237e-183,4.899690564881646e-187
65,3,8.983721806969547e-05,4.66513413449313e-183,7.815883158605151e-187
66,3,8.983721806969547e-05,1.5372605698764787e-182,1.2006909884253546e-186
67,3,8.983721806969547e-05,3.168494696132299e-182,2.58172311888473e-186
68,3,8.983721806969547e-05,5.897578915180799e-182,5.428210608575839e-186
69,3,8.983721806969547e-05,2.42578783590576e-181,1.0726431439439194e-185
70,3,8.983721806969547e-05,2.4835426856176066e-181,3.2519034519947236e-185
71,3,4.358296776025585e-05,6.226919108265268e-181,5.483049110326984e-185
72,3,4.358296776025585e-05,6.758022264060707e-181,8.196925257739447e-185
73,3,4.358296776025585e-05,8.62797953982707e-181,1.1142271922315937e-184
74,3,4.358296776025585e-05,9.609407973261288e-181,1.490260146352024e-184
75,3,4.358296776025585e-05,1.3232036386767134e-180,1.9090666642458162e-184
76,3,4.358296776025585e-05,1.3711581714720642e-180,2.48575807949282e-184
77,3,4.358296776025585e-05,1.8823014571036123e-180,3.0833495033076035e-184
78,3,4.358296776025585e-05,3.5159989047447176e-180,3.903712340507897e-184
79,3,4.358296776025585e-05,4.270686040662227e-180,5.436089009613736e-184
80,3,4.358296776025585e-05,4.499625183797257e-180,7.297380729857302e-184
81,3,4.358296776025585e-05,1.4104742525792142e-179,9.258450923044013e-184
82,3,4.358296776025585e-05,1.5017414830021293e-179,1.5405716310727097e-183
83,4,4.358296776025585e-05,1.871657374813278e-179,2.1950751374519156e-183
84,4,4.358296776025585e-05,3.8253839560819295e-179,3.0107989676992375e-183
85,4,4.358296776025585e-05,8.228493575746631e-179,4.678014823984424e-183
86,4,4.358296776025585e-05,3.6650978066719254e-178,8.264236526256802e-183
87,4,4.358296776025585e-05,3.9797696509158256e-178,2.4237820480893497e-182
88,4,4.358296776025585e-05,4.4619748655463395e-178,4.158283771980441e-182
89,4,4.358296776025585e-05,6.720037195353466e-178,6.102944839102221e-182
90,4,4.358296776025585e-05,8.534255849810512e-178,9.031736483430323e-182
91,4,4.358296776025585e-05,8.628529819019033e-178,1.2751218459030987e-181
92,4,4.358296776025585e-05,1.0014749006395506e-177,1.6511787828238116e-181
93,4,4.358296776025585e-05,1.6034516670152704e-177,2.0876512658966013e-181
94,4,4.358296776025585e-05,1.7393210379961166e-177,2.7864830889831514e-181
95,4,4.358296776025585e-05,1.872129469868814e-177,3.5445308162203464e-181
96,4,4.358296776025585e-05,1.9296296263547835e-177,4.36046039950352e-181
97,4,4.358296776025585e-05,6.992973199384085e-176,5.20145025745007e-181
98,4,4.358296776025585e-05,7.07675250555861e-176,3.5678902807159046e-180
99,4,4.358296776025585e-05,8.471680666178201e-176,6.652149043686611e-180
100,4,4.358296776025585e-05,1.1230874701065702e-175,1.0344358897178885e-179
101,4,4.358296776025585e-05,1.6002931387130896e-175,1.523910739733908e-179
102,4,4.358296776025585e-05,1.9670216766165837e-175,2.2213659824488202e-179
103,4,4.358296776025585e-05,4.0077490623421954e-175,3.07865240560587e-179
104,5,4.358296776025585e-05,1.1935385391624357e-174,4.825348387358425e-179
105,5,1.808390644452711e-05,1.5979519620947172e-174,1.0027143554652354e-178
106,5,1.808390644452711e-05,2.0234732918368653e-174,1.2916864933189294e-178
107,5,1.808390644452711e-05,2.622307406347589e-174,1.657609510344701e-178
108,5,1.808390644452711e-05,2.838997773403969e-174,2.1318251283965043e-178
109,5,1.808390644452711e-05,3.6544447127164283e-174,2.6452268297010856e-178
110,5,1.808390644452711e-05,4.449615213086785e-174,3.306093192615692e-178
111,5,1.808390644452711e-05,4.521238048590977e-174,4.1107574448917515e-178
112,5,1.808390644452711e-05,5.477851045280203e-174,4.928373903733307e-178
113,5,1.808390644452711e-05,6.205502960382779e-174,5.91898336193233e-178
114,5,1.808390644452711e-05,7.4020903877283385e-174,7.041180711700312e-178
115,5,1.808390644452711e-05,7.8739966052429245e-174,8.379767812356438e-178
116,5,1.808390644452711e-05,9.2220911095016e-174,9.803693991893809e-178
117,5,1.808390644452711e-05,1.3715115808342191e-173,1.1471408320365132e-177
118,5,1.808390644452711e-05,1.693205364296456e-173,1.3951637031904281e-177
119,5,1.808390644452711e-05,1.8105788050127974e-173,1.7013613771835137e-177
120,5,1.808390644452711e-05,2.1776988113338457e-173,2.0287847543864648e-177
121,5,1.808390644452711e-05,2.5594245682134872e-173,2.422597770071656e-177
122,5,1.808390644452711e-05,2.769110987732777e-173,2.885441714505625e-177
123,5,1.808390644452711e-05,2.9248520651299067e-173,3.386205154872341e-177
124,6,1.808390644452711e-05,3.257139747448461e-173,3.9151326659712523e-177
125,6,1.808390644452711e-05,3.279081478672058e-173,4.504150770667339e-177
126,6,1.808390644452711e-05,4.1298661160293e-173,5.09713679751021e-177
127,6,1.808390644452711e-05,1.1976553426725808e-172,5.843977922217174e-177
128,6,1.808390644452711e-05,1.8809055477523278e-172,8.009806639185075e-177
129,6,1.808390644452711e-05,2.1027974974359814e-172,1.1411218634839586e-176
130,6,1.808390644452711e-05,2.187475991224903e-172,1.521389795638139e-176
131,6,1.808390644452711e-05,2.9818164890820367e-172,1.9169709073877425e-176
132,6,1.808390644452711e-05,3.4158150851060205e-172,2.456199811620821e-176
133,6,1.808390644452711e-05,3.5617700512833715e-172,3.0739126159294377e-176
134,6,1.808390644452711e-05,4.210449966522329e-172,3.718019779772708e-176
135,6,1.808390644452711e-05,4.448039791153365e-172,4.4794336126122285e-176
136,6,1.808390644452711e-05,4.4481783859030186e-172,5.283812967059742e-176
137,6,1.808390644452711e-05,5.642465125558952e-172,6.08821738485212e-176
138,6,1.808390644452711e-05,2.2224171544928784e-171,7.10859549932327e-176
139,6,1.808390644452711e-05,4.270645701712622e-171,1.1127593889579406e-175
140,6,1.808390644452711e-05,5.30922098310735e-171,1.8850589622328694e-175
141,6,1.808390644452711e-05,5.385785600142145e-171,2.8451735177512054e-175
142,6,1.808390644452711e-05,5.416148603730252e-171,3.819133946983724e-175
143,6,1.808390644452711e-05,7.086957793143883e-171,4.7985851933788643e-175
144,7,1.808390644452711e-05,7.354783054093875e-171,6.080184010454127e-175
145,7,1.808390644452711e-05,9.6665796562306e-171,7.410216097154397e-175
146,7,1.808390644452711e-05,1.1387738296145892e-170,9.15831131857283e-175
147,7,1.808390644452711e-05,3.53471254098611e-170,1.1217659258195438e-174
148,7,1.808390644452711e-05,8.216624554206173e-170,1.760980034814439e-174
149,7,1.808390644452711e-05,1.0702543929315872e-169,3.246866732095126e-174
150,7,1.808390644452711e-05,2.5036192050613844e-169,5.1823047634570245e-174
151,7,1.808390644452711e-05,3.738553106153888e-169,9.709826311162167e-174
152,7,1.808390644452711e-05,3.7420829944009836e-169,1.647059077212048e-173
153,7,1.808390644452711e-05,5.251326934947057e-169,2.3237738649960804e-173
154,7,1.808390644452711e-05,7.188237912151192e-169,3.2734189150081594e-173
155,7,7.846018457231907e-06,1.8515390800696357e-168,4.5733331340516095e-173
156,7,7.846018457231907e-06,2.547374759225304e-168,6.026054113702864e-173
157,7,7.846018457231907e-06,2.8405625833746462e-168,8.024729051539706e-173
158,7,7.846018457231907e-06,3.0347565226976372e-168,1.0253439697347687e-172
159,7,7.846018457231907e-06,3.8457818998406174e-168,1.2634515266376745e-172
160,7,7.846018457231907e-06,3.936224603715032e-168,1.565192284324053e-172
161,7,7.846018457231907e-06,4.1265865049515455e-168,1.874029193249638e-172
162,7,7.846018457231907e-06,5.10823377325315e-168,2.1978019320817774e-172
163,7,7.846018457231907e-06,7.577036724306185e-168,2.5985948967697735e-172
164,7,7.846018457231907e-06,8.128286382536633e-168,3.1930905966700767e-172
165,7,7.846018457231907e-06,9.241317453193536e-168,3.8308374465005686e-172
166,8,7.846018457231907e-06,9.512231231235843e-168,4.555912919569527e-172
167,8,7.846018457231907e-06,1.629856943191495e-167,5.30224433766687e-172
168,8,7.846018457231907e-06,1.786113819402819e-167,6.581033103559674e-172
169,8,7.846018457231907e-06,2.2314384375164044e-167,7.982421302934823e-172
170,8,7.846018457231907e-06,2.7352520654908352e-167,9.733212019627867e-172
171,8,7.846018457231907e-06,3.007298506651934e-167,1.1879295838730146e-171
172,8,7.846018457231907e-06,4.2974344649278384e-167,1.4238827797689848e-171
173,8,7.846018457231907e-06,9.77956021550927e-167,1.7610602810746684e-171
174,8,7.846018457231907e-06,3.049495039006851e-166,2.528366380619634e-171
175,8,7.846018457231907e-06,3.8855236666392496e-166,4.9210058167481225e-171
176,8,7.846018457231907e-06,8.743696191787889e-166,7.969594857194417e-171
177,8,7.846018457231907e-06,1.0932644079258383e-165,1.4829915027714029e-170
178,8,7.846018457231907e-06,2.5527142318389255e-165,2.340768775093487e-170
179,8,7.846018457231907e-06,4.006040490809565e-165,4.3436330729981645e-170
180,8,7.846018457231907e-06,4.5028213128820685e-165,7.486779836129185e-170
181,8,7.846018457231907e-06,5.845471944765485e-165,1.1019701749178176e-169
182,8,7.846018457231907e-06,5.953814643809302e-165,1.5606069826164304e-169
183,8,7.846018457231907e-06,6.271233652918263e-165,2.0277443784790843e-169
184,8,7.846018457231907e-06,2.4412234272750266e-164,2.5197865283831898e-169
185,8,7.846018457231907e-06,2.4909893190915236e-164,4.435174935245869e-169
186,9,7.846018457231907e-06,4.225272592711576e-164,6.389609752681832e-169
187,9,7.846018457231907e-06,6.105603726399756e-164,9.704766427606947e-169
188,9,7.846018457231907e-06,1.1431204586196775e-163,1.4495234380594586e-168
189,9,7.846018457231907e-06,1.2391403699179001e-163,2.346417859776398e-168
190,9,7.846018457231907e-06,1.6787354481051264e-163,3.3186496811240997e-168
191,9,7.846018457231907e-06,2.0331841740749607e-163,4.635788612188329e-168
192,9,7.846018457231907e-06,3.5376884082794266e-163,6.231028667862724e-168
193,9,7.846018457231907e-06,5.068365189526312e-163,9.006705522592299e-168
194,9,7.846018457231907e-06,9.350068509522839e-163,1.2983354205093812e-167
195,9,7.846018457231907e-06,1.831420115007461e-162,2.0319435215303713e-167
196,9,7.846018457231907e-06,1.8998240286849633e-162,3.4688791240598034e-167
197,9,7.846018457231907e-06,5.969629932205818e-162,4.959484563515293e-167
198,9,7.846018457231907e-06,6.851655055000188e-162,9.643267226608384e-167
199,9,7.846018457231907e-06,1.899975249474499e-161,1.5019088429020162e-166
200,9,3.16388528279515e-06,5.811184217421803e-161,2.992632930468088e-166
201,9,3.16388528279515e-06,9.216885986128052e-161,4.8312249525793175e-166
202,9,3.16388528279515e-06,9.976825087336768e-161,7.747341945050458e-166
203,9,3.16388528279515e-06,1.3103304061144815e-160,1.0903894951335082e-165
204,9,3.16388528279515e-06,1.4419159201323153e-160,1.5049630038839681e-165
205,9,3.16388528279515e-06,1.7976224175151982e-160,1.9611686597574342e-165
