iteration,prior mass,evidence
248,0.08374322559219596,4.8142179757448757e-178
249,0.08290996657517266,6.089061838493222e-178
250,0.0820849986238988,7.991820458687642e-178
251,0.0812682392408917,1.0583040970967575e-177
252,0.08045960674953244,1.3197864149492998e-177
253,0.07965902028589804,1.6923659079807706e-177
254,0.07886639979067495,2.159100648213376e-177
255,0.07808166600115317,2.7002706822577874e-177
256,0.07730474044329974,3.2374220972984143e-177
257,0.07653554542391151,3.7737068485923524e-177
258,0.07577400402284548,4.393440032976532e-177
259,0.07502004008532698,5.082418941020028e-177
260,0.07427357821433388,5.769220865957362e-177
261,0.0735345437630571,6.509467546963933e-177
262,0.07280286282743559,7.447514470096888e-177
263,0.0720784622387661,8.711664713833898e-177
264,0.07136126955638605,1.0022511691307835e-176
265,0.0706512130604296,1.153083858809132e-176
266,0.06994822174465536,1.3215465116842425e-176
267,0.069252225309346,1.4976762212338154e-176
268,0.06856315415427791,1.6726204375894577e-176
269,0.06788093937176144,1.8662215191970098e-176
270,0.06720551273974976,2.1233943654589797e-176
271,0.06653680671501686,2.3804880055954595e-176
272,0.06587475442640295,2.6784199086034673e-176
273,0.06521928966812753,2.9972151037924067e-176
274,0.06457034689316847,3.375591369915063e-176
275,0.06392786120670757,3.815492591753502e-176
276,0.06329176835964073,4.260505510805725e-176
277,0.06266200474215315,4.822596928071526e-176
278,0.06203850737735832,5.480230027839712e-176
279,0.06142121391500013,6.171555095484677e-176
280,0.06081006262521797,6.943456418562575e-176
281,0.06020499239237354,7.747325925012673e-176
282,0.05960594270893937,8.544557404050251e-176
283,0.05901285366944784,1.022344414993847e-175
284,0.05842566596450083,1.2193965351960219e-175
285,0.057844320874838456,1.4267660981986942e-175
286,0.05726876026546736,1.651506429402042e-175
287,0.0566989265798469,1.875062586029418e-175
288,0.056134762834133725,2.156583598078514e-175
289,0.05557621261148306,2.4736652553931e-175
290,0.05502322005640723,3.003933093568572e-175
291,0.05447572986918986,3.597095372187851e-175
292,0.05393368730035602,4.269067289150756e-175
293,0.053397038145197084,5.0505415307710346e-175
294,0.05286572873835037,6.171717587300914e-175
295,0.05233970594843238,7.407721518240037e-175
296,0.05181891717272583,8.779347535412724e-175
297,0.05130331033191911,1.0260528042401642e-174
298,0.0507928338648985,1.1785758206657142e-174
299,0.050287436723591865,1.3306419569195263e-174
300,0.049787068367863944,1.5306386925332812e-174
301,0.04929167876046217,1.7328834975691558e-174
302,0.04880121836201296,1.998825163289029e-174
303,0.04831563812606779,2.3309103445863586e-174
304,0.04783488949419837,2.6831988684156455e-174
305,0.04735892439114093,3.110338028880658e-174
306,0.046887695219988486,3.5887119219960557e-174
307,0.04642115485743127,4.217341330703911e-174
308,0.045959256649044204,5.086778344851204e-174
309,0.04550195440462157,6.083306859906617e-174
310,0.0450492023935578,7.1333860375510985e-174
311,0.044600955340274535,8.467787265224712e-174
312,0.04415716841969286,9.802411875353e-174
313,0.04371779725275094,1.1389006165135612e-173
314,0.043282797901965896,1.3180573774331205e-173
315,0.04285212686704019,1.5394450179454854e-173
316,0.042425741080511385,1.7742590722177082e-173
317,0.04200359790344555,2.0097184373921536e-173
318,0.04158565512117316,2.2617490148512408e-173
319,0.04117187093906774,2.5356616489204742e-173
320,0.04076220397836621,2.8239783873617698e-173
321,0.04035661327203115,3.1127231666913196e-173
322,0.039955058260653896,3.415465646368614e-173
323,0.039557498788398725,3.789124196787523e-173
324,0.039163895098987066,4.2095201356796656e-173
325,0.03877420783172201,4.8289392340133996e-173
326,0.038388398017552075,5.8206940030391564e-173
327,0.038006427075174314,7.026358153636825e-173
328,0.03762825680717622,8.261909497863808e-173
329,0.03725384939621581,9.563709906805054e-173
330,0.036883167401240015,1.149901603016462e-172
331,0.0365161737537404,1.4935493161180982e-172
332,0.036152831754046426,1.9540121171968794e-172
333,0.0357931050676553,2.440118234491723e-172
334,0.03543695772159864,2.9867844953366255e-172
335,0.035084354100845025,3.6945621936381265e-172
336,0.03473525894473856,4.557256924892044e-172
337,0.03438963734347271,5.430097383528217e-172
338,0.034047454734599344,6.329490640991406e-172
339,0.033708676899572396,7.296056319262705e-172
340,0.03337326996032608,8.558919321997963e-172
341,0.03304120037588693,9.965517190475332e-172
342,0.03271243493901982,1.1553138002662782e-171
343,0.03238694077290704,1.3450354875418364e-171
344,0.03206468532786077,1.5460932310410083e-171
345,0.03174563637806794,1.7458829604198413e-171
