n_iterations,n_points,stoch_prior,trapezoid
10000,50,True,False
iteration,prior mass,worst L,evidence
0,1.0,0.0,0.0
1,0.997961450007443,4.0876086728912546e-196,8.332794629698548e-199
2,0.9801848033676512,7.032594726933925e-196,1.3334874605126552e-197
3,0.9689177685470759,7.505311533892319e-196,2.17911352442896e-197
4,0.9268793703546453,1.1092670150119118e-195,6.842294372308925e-197
5,0.920165647139307,1.3286074034221805e-195,7.734284609151502e-197
6,0.9051267167058531,1.5371180863184e-195,1.004594580596613e-196
7,0.8772847417178075,1.5700805630871354e-195,1.4417360182634995e-196
8,0.8695101107645665,1.596185272393775e-195,1.565833532522099e-196
9,0.8656493911076638,3.41728830420409e-195,1.6977654538155438e-196
10,0.8540805116895503,6.006553752854466e-195,2.392656414667446e-196
11,0.8500520640459815,6.9954003651877e-195,2.674462455837053e-196
12,0.8245591872994593,8.519202491854196e-195,4.846252246872093e-196
13,0.8161036076373229,1.2761586059272353e-194,5.92531832226596e-196
14,0.8129560962232877,3.3109293145723554e-194,6.967437103133997e-196
15,0.7907741642796509,1.3557981783024917e-193,3.704166002354665e-195
16,0.7882132897748411,2.579098974357512e-193,4.36464088323599e-195
17,0.7834324325830018,2.918652372706951e-193,5.760006901889474e-195
18,0.7744501538095042,4.396838649290987e-193,9.709369948891484e-195
19,0.7741766306049691,4.858793007916908e-193,9.842269212261305e-195
20,0.7590019280601787,1.7626719155090805e-192,3.6590291214167455e-194
21,0.7361908959457306,1.83932346928278e-192,7.854715794083509e-194
22,0.7234674306093773,1.7687268511046996e-191,3.035905057359142e-193
23,0.7194116660645996,1.8463026385751988e-191,3.78472193540543e-193
24,0.6994347229804112,2.359573133245498e-191,8.498427753987971e-193
25,0.6951868783447149,2.8728507213596e-191,9.718770106576326e-193
26,0.6942444104782037,3.578647926403876e-191,1.0056046174195585e-192
27,0.6284776596405565,3.6886330453883136e-191,3.4314987216952112e-192
28,0.6047641742704895,6.413083699162054e-191,4.952264386466157e-192
29,0.6016992176001613,7.818410947290072e-191,5.191895294308789e-192
30,0.589719171539587,1.3387599073841948e-190,6.795735829760079e-192
31,0.5850036366592882,1.6529308298994187e-190,7.575181128071264e-192
32,0.5802435738446011,3.713472747094523e-190,9.342817481751125e-192
33,0.5774757500066315,3.997092644661549e-190,1.0449142312197838e-191
34,0.569244226460374,7.023077959809887e-190,1.6230205471535596e-191
35,0.564049517416965,4.676199503998758e-189,4.052170132374271e-191
36,0.5631837007825445,9.013338133388008e-189,4.8325599411285986e-191
37,0.56301673360875,9.700955000894952e-189,4.994534045089301e-191
38,0.5545861331031612,2.0759290019623563e-188,2.2495862138599717e-190
39,0.5396578878356901,9.731643238869739e-188,1.6777221926397357e-189
40,0.49164671935084725,1.0678279598956649e-187,6.804489002177417e-189
41,0.4848213199092602,1.539926305376025e-187,7.85555021665729e-189
42,0.4820042423823405,1.8544345308557968e-187,8.37795880085906e-189
43,0.47116205748889156,2.0033064304489841e-187,1.0549980672575372e-188
44,0.4503071984024208,2.622881389328321e-187,1.6019962850072256e-188
45,0.4454437441237237,2.6260322370984664e-187,1.7297121622023564e-188
46,0.4380918984819835,2.9041719753891177e-187,1.943222403003641e-188
47,0.433220949880241,4.349925547797361e-187,2.1551050406509154e-188
