n_iterations,n_points,stoch_prior,trapezoid
10000,50,True,False
iteration,prior mass,worst L,evidence
0,1.0,0.0,0.0
1,0.9993941725335976,5.524101495513918e-196,3.3466524131767087e-199
2,0.983248803150264,7.779302717840343e-196,1.2894636833748053e-197
3,0.9818020991267988,7.826414050330607e-196,1.402688730333979e-197
4,0.9723768126522668,9.259787980830782e-196,2.2754502744615626e-197
5,0.9699876661611843,1.479288379114942e-195,2.6288739384877316e-197
6,0.9684041484294258,3.0935862434829205e-195,3.1187488056156584e-197
7,0.961082560150551,5.5733458956313085e-195,7.199323203972545e-197
8,0.9609379005835834,6.274891764391372e-195,7.290095516513106e-197
9,0.9537491097181896,1.0735980507212236e-194,1.5007967376642443e-196
10,0.9234272693551416,1.2451463347661635e-194,5.276309576805634e-196
11,0.8932367767538216,1.5490371615831455e-194,9.952929073400204e-196
12,0.8882394682020033,1.763379683535443e-194,1.0834144310663644e-195
13,0.8850527828639441,3.959212622374583e-194,1.209582079206165e-195
14,0.8774273066633994,4.931129471512312e-194,1.58560418347438e-195
15,0.843172768682811,5.87135066443741e-194,3.596808226797623e-195
16,0.826540998984117,9.616441757885302e-194,5.196192673178142e-195
17,0.7968427596231358,1.405420333124442e-193,9.370043618770113e-195
18,0.7887657244823759,4.177923608554568e-193,1.274456719894066e-194
19,0.7773335425601805,1.4171276027216004e-192,2.894542776021867e-194
20,0.7535971756443561,3.4459895633499206e-192,1.1074070042399378e-193
21,0.7335442326526715,6.6020251906274975e-192,2.4313073520131255e-193
22,0.721987792349753,9.335533340222054e-192,3.510162689434948e-193
23,0.7212811646170163,1.765142562390431e-191,3.6348925581168417e-193
24,0.7169557972355464,2.2752258928927777e-191,4.619011344376265e-193
25,0.702686384328278,2.3329334388118744e-191,7.947970396734276e-193
26,0.7002491302719771,4.38542117691735e-191,9.016808951937246e-193
27,0.6945724361433836,8.757119853864365e-191,1.3987958037719395e-192
28,0.6819245174932758,1.4230980021246172e-190,3.1987185799722543e-192
29,0.6784805985449892,1.8014342703409975e-190,3.819117941744266e-192
30,0.6713095652205538,3.1906132691323247e-190,6.107117349577621e-192
31,0.6580266011350491,4.1110763575059017e-190,1.156784531052949e-191
32,0.6394044263802903,6.407616697437444e-190,2.3500221100648543e-191
33,0.6375684739616224,9.11539132392609e-190,2.517376357547515e-191
34,0.6283190853499838,1.3226483540062874e-189,3.740745219822344e-191
35,0.6267007083248604,1.712442998997343e-189,4.017883060463426e-191
36,0.6102360274204499,3.733229077700375e-189,1.0164525611203744e-190
37,0.6067595428171157,9.23634455751912e-189,1.3375526575734196e-190
38,0.6039941617295211,2.8480116200507457e-188,2.1251364047072213e-190
39,0.59641400627818,5.848338087386418e-188,6.558267588146053e-190
40,0.5666009257601538,7.079365752731168e-188,2.766403770841922e-189
41,0.5620382765537351,1.3221351508351963e-187,3.3696476605155686e-189
42,0.5566119812631808,1.3701914434453155e-187,4.113153998188076e-189
43,0.5317289410630386,1.381676972026928e-187,7.551186362043755e-189
44,0.520960797582824,1.726575849811182e-187,9.410388010067782e-189
45,0.519073946225789,8.413156788450272e-187,1.0997825640391373e-188
46,0.5168038482019507,1.7547818203984272e-186,1.4981352383145152e-188
47,0.5040961285127112,2.4382930075094323e-186,4.596649644280764e-188
