n_iterations,n_points,stoch_prior,trapezoid
1000,5,True,False
iteration,prior mass,worst L,evidence
0,1.0,0.0,0.0
1,0.9841613695145804,2.688800306742035e-195,4.2586914507569855e-197
2,0.8348929405199296,6.072765871911365e-194,9.107309128032976e-195
3,0.6805587873378938,1.5492481758605524e-189,2.391110125993801e-190
4,0.6252368912219441,1.0413668580658546e-180,5.761038937962308e-182
5,0.5974707959704132,1.663996308886119e-179,5.19637189486902e-181
6,0.25025477664627205,2.310778313610096e-176,8.023912113111981e-177
7,0.2439439623069298,8.124977830910443e-174,5.929913871525946e-176
8,0.1519671150089568,2.9179746658909555e-172,2.689791016511588e-173
9,0.14555929125441522,1.377387069555879e-171,3.572396374861445e-173
10,0.12614522193173025,2.125756272302991e-171,7.699354338223709e-173
11,0.07117218200160942,7.655402981877474e-169,4.2161070923773876e-170
12,0.0695670657170415,6.938441314500194e-167,1.5353112235800456e-169
13,0.06094568398845066,4.5686391385795965e-165,3.9541513116233156e-167
14,0.05786446253009982,1.590408014257829e-164,8.854550612687695e-167
15,0.044788104812684096,1.9647262859736075e-164,3.45460143448882e-166
16,0.030777587751786375,2.3784971461826126e-163,3.6778576280376855e-165
17,0.02035225488153008,3.1292025427629283e-159,3.2626655984383977e-161
18,0.009130394528254909,5.5281121046075015e-155,6.203896472075391e-157
19,0.009122879853198125,4.6748842837129014e-153,6.555198835277042e-157
20,0.008215040019032664,6.477332974625785e-153,6.535900777046451e-156
21,0.007533957190806785,2.2166580054261383e-152,2.1633177812498152e-155
22,0.007424502274671591,1.4963354236592656e-151,3.801130464317262e-155
23,0.006652383928318508,3.610489907798579e-151,3.16783854356566e-154
24,0.0066219148270209045,5.642428909739667e-150,4.8870359237195304e-154
25,0.005648213139931629,1.3556835885616875e-149,1.3689017565789538e-152
26,0.003870290553796257,1.29016796197767e-148,2.4307089351662367e-151
27,0.0023348363436046997,2.0923724285680252e-148,5.643450989899744e-151
28,0.0023094908719241865,6.440887657461776e-148,5.806698325619308e-151
29,0.0017980705022532205,4.863482646797391e-147,3.0679539256753804e-150
30,0.0015430563913141726,6.064773823530712e-147,4.614556830329475e-150
31,0.0013099460300197456,2.4875556396211285e-145,6.260205621953655e-149
32,0.0012896526758347825,3.5136196537275136e-144,1.3390518432387618e-148
33,0.0006887932320924167,1.1588796383995643e-143,7.097142933255038e-147
34,0.0006650060320660367,1.0709699581855043e-141,3.2572519550857516e-146
35,0.0006349437734939245,3.182513566362069e-140,9.893079769631707e-145
36,0.000622591736409068,7.799510145941554e-134,9.633993749718261e-139
37,0.0005867269600698883,4.2637632141047016e-132,1.53882313412059e-136
38,0.0005732794485285456,6.610198382179792e-132,2.4277303244698653e-136
39,0.00029255017214743274,1.9900348427315352e-131,5.829383446179242e-135
40,0.0002528703611448424,3.0542725745175554e-131,7.041313031251758e-135
41,0.0002498543934974184,8.237498328569808e-131,7.289753315798518e-135
42,0.00015731327082341514,8.11766366586644e-130,8.241152422872303e-134
43,0.00014499533552923867,1.40741375002815e-129,9.974795573370403e-134
44,0.00012087176652330531,2.1522567834830273e-128,6.18949106082114e-133
45,9.378331161522189e-05,2.151617448297006e-127,6.447348328846011e-132
46,8.53053510009694e-05,5.1995651440904495e-127,1.0855519179129899e-131
47,7.822819785294245e-05,1.5351216218448683e-122,1.0865376370561556e-127
48,5.822306818239181e-05,4.494512039883081e-122,1.007786725342737e-126
49,4.531573653093455e-05,2.9555554932861647e-118,3.8158412833384306e-123
50,3.784826742960241e-05,1.0046687918785139e-116,7.883917288759338e-122
51,2.5538486856266638e-05,4.729978339581084e-115,5.901338720575016e-120
52,1.9026205056518586e-05,7.410471863271367e-115,1.072724682484773e-119
53,1.305659398298034e-05,8.156625544387806e-114,5.941912899733011e-119
54,8.153340718723198e-06,1.75564991337597e-113,1.4550309068386503e-118
55,5.439519668311619e-06,7.30458145503413e-113,3.4373635985504166e-118
56,4.218169198644572e-06,9.318825008400653e-113,4.575518728625933e-118
57,4.126157648679361e-06,1.678253642032424e-111,6.119705917007562e-118
58,3.7004743297842427e-06,3.778164039524953e-110,1.6694984668452448e-116
