n_iterations,n_points,stoch_prior,trapezoid
20000,20,False,False
iteration,prior mass,worst L,evidence
0,1.0,0.0,0.0
1,0.951229424500714,5.0577546322476e-196,2.4666960414889498e-197
2,0.9048374180359595,5.373515180037059e-196,4.959577551196306e-197
3,0.8607079764250578,6.2461848131981415e-196,7.71598403124559e-197
4,0.8187307530779818,5.677773694978559e-193,2.3910877291139242e-194
5,0.7788007830714049,6.442731596307887e-193,4.9636685231239194e-194
6,0.7408182206817179,1.2380714813970937e-192,9.666181251629652e-194
7,0.7046880897187134,3.175856668173908e-192,2.1140592985715074e-193
8,0.6703200460356393,3.669896914678668e-192,3.375331073332061e-193
9,0.6376281516217733,1.252352143650237e-191,7.469507478251289e-193
10,0.6065306597126334,3.1388163736845725e-191,1.7230439156744475e-192
11,0.5769498103804866,3.5158768518101025e-190,1.2123306258052166e-191
12,0.5488116360940264,6.144442478864698e-190,2.941264559439465e-191
13,0.522045776761016,9.08016363340862e-190,5.371648384764777e-191
14,0.4965853037914095,1.18400155677226e-189,8.386172347981993e-191
15,0.4723665527410147,4.031801778456036e-189,1.8150692703678583e-190
16,0.44932896411722156,1.0708432141867629e-188,4.2820338152693617e-190
17,0.4274149319487267,7.574359209654265e-188,2.0880508952879248e-189
18,0.4065696597405991,9.179797553187424e-188,4.00160468340488e-189
19,0.38674102345450123,2.6331002048762525e-187,9.222683310138982e-189
20,0.36787944117144233,2.771262703482723e-187,1.4449723261110147e-188
21,0.3499377491111553,4.081467521485039e-187,2.1772566603564886e-188
22,0.33287108369807955,4.824488030689474e-187,3.00063589044815e-188
23,0.3166367693790533,1.7303762586266825e-186,5.809783097720776e-188
24,0.30119421191220214,4.07148955073016e-186,1.2097204234004217e-187
25,0.2865047968601901,1.194870025880009e-185,2.9649145977364045e-187
26,0.2725317930340126,1.3844971212651093e-184,2.231049817050551e-186
27,0.2592402606458915,3.603776249888766e-184,7.0210206915443596e-186
28,0.2465969639416065,1.1187577360096352e-183,2.1165806688128348e-185
29,0.23457028809379765,1.819224672838206e-183,4.3045032122689535e-185
30,0.22313016014842982,1.8714007419206008e-183,6.44540960473175e-185
31,0.21224797382674304,2.184033731651587e-183,8.822115804799891e-185
32,0.20189651799465538,4.617050167619606e-183,1.360143489326462e-184
33,0.19204990862075413,4.842099557339556e-183,1.8369261182330895e-184
34,0.18268352405273466,1.4225045751331333e-182,3.169298608279497e-184
35,0.17377394345044514,1.9716989040820593e-182,4.925999639216e-184
36,0.16529888822158653,3.254724671323463e-182,7.684396773635503e-184
37,0.1572371663136276,2.2985167647635636e-181,2.6214399731940793e-183
38,0.14956861922263506,2.3756243789198808e-181,4.443198715219782e-183
39,0.1422740715865136,5.188775091595838e-181,8.228175423096422e-183
40,0.1353352832366127,1.335240437680322e-180,1.74931262163892e-182
41,0.12873490358780423,1.4509742920236867e-180,2.707010740440662e-182
42,0.1224564282529819,2.198640826110975e-180,4.087421960127777e-182
43,0.11648415777349697,1.0014455636728837e-179,1.0068325736862495e-181
44,0.11080315836233387,2.3166425112916665e-179,2.3229170479385848e-181
45,0.10539922456186433,7.68086916031671e-179,6.473607895180539e-181
46,0.10025884372280375,8.4500602648762e-179,1.081726068262822e-180
47,0.09536916221554961,1.8814087741958632e-178,2.0016750373399403e-180
48,0.09071795328941251,3.008240026688771e-178,3.4008703237497124e-180
49,0.0862935864993705,2.0003064074715186e-177,1.2250959562874954e-179
50,0.0820849986238988,4.7649018082063995e-177,3.230446754070556e-179
51,0.07808166600115317,1.9464829185377206e-176,1.102286532146974e-178
52,0.07427357821433388,2.724826195220826e-176,2.1399242676695447e-178
53,0.0706512130604296,3.577359097744964e-176,3.4357743615369263e-178
54,0.06720551273974976,1.1538409090515272e-175,7.411564351869291e-178
55,0.06392786120670757,1.1781375217000096e-175,1.127308860600385e-177
56,0.06081006262521797,1.3986951797854258e-175,1.563393845347519e-177
57,0.057844320874838456,1.6770065162224866e-175,2.060750669429472e-177
58,0.05502322005640723,6.899752689986259e-175,4.0072404654988e-177
59,0.05233970594843238,1.4210574656824096e-174,7.820668222900531e-177
60,0.049787068367863944,1.685258305445067e-174,1.2122521906344691e-176
61,0.04735892439114093,2.2129939148022245e-174,1.74959897510964e-176
62,0.0450492023935578,3.9469397751246493e-174,2.6612323372837605e-176
63,0.04285212686704019,1.325717414015341e-173,5.5739336226950856e-176
64,0.04076220397836621,8.043798326558078e-173,2.2384851857246237e-175
65,0.03877420783172201,1.1941988875732285e-172,4.612547972546995e-175
66,0.036883167401240015,1.9332783287000167e-172,8.268455455493384e-175
67,0.035084354100845025,4.297197295602902e-171,8.556701195301219e-174
68,0.03337326996032608,6.292655766742709e-171,1.9323964679519752e-173
69,0.03174563637806794,1.0643266425148424e-170,3.664730253801188e-173
70,0.0301973834223185,2.0475588009488485e-170,6.834869219441017e-173
71,0.028724639654239433,2.5872213644902956e-170,1.0645183360635121e-172
72,0.02732372244729256,3.1184503378980405e-170,1.501387409800578e-172
73,0.025991128778755347,5.4062995876363245e-170,2.2218274698705288e-172
74,0.024723526470339388,6.594123937689245e-170,3.0577001424101105e-172
75,0.023517745856009107,2.5104103583518115e-169,6.084704286524659e-172
76,0.0223707718561656,6.457271369940745e-169,1.3491026657780548e-171
77,0.02127973643837717,1.3478347064566883e-168,2.8196380678467775e-171
78,0.02024191144580439,5.173101151667115e-167,5.650737471091826e-170
79,0.01925470177538692,6.28619912368116e-167,1.1856534036159698e-169
80,0.01831563888873418,8.930248066597456e-167,2.0242598564103773e-169
81,0.017422374639493515,1.2173653092202954e-166,3.1116887654026734e-169
82,0.016572675401761255,1.2892964189891824e-166,4.207202949828714e-169
83,0.015764416484854486,1.6794903957269888e-166,5.564666038034331e-169
84,0.014995576820477703,1.9198994767451062e-166,7.0407609073722e-169
85,0.014264233908999256,3.385210207158859e-166,9.51651039624232e-169
86,0.013568559012200934,1.8331886648826863e-165,2.226954374878348e-168
87,0.012906812580479873,2.464835087110764e-165,3.858050198554767e-168
88,0.012277339903068436,2.590540843055576e-165,5.488724878976641e-168
89,0.011678566970395442,6.366986136292342e-165,9.3011038400927e-168
90,0.011108996538242306,1.1465448695361078e-164,1.5831484408339122e-167
91,0.010567204383852655,1.3346695354473422e-164,2.306261923842163e-167
92,0.010051835744633586,2.2132338004917416e-164,3.44689321587524e-167
93,0.009561601930543505,3.30264917768764e-164,5.0659635188545226e-167
94,0.009095277101695816,4.2637516554259045e-164,7.054256779820058e-167
95,0.008651695203120634,5.486050591782461e-163,3.1389384151643674e-166
96,0.00822974704902003,7.117887734035008e-163,6.14231800563577e-166
97,0.007828377549225773,1.166660294592267e-162,1.0824936594338953e-165
98,0.007446583070924338,1.3615225229919584e-162,1.602315440795264e-165
99,0.0070834089290521185,1.72283441709522e-162,2.228004351811746e-165
100,0.006737946999085467,1.945839963896464e-162,2.900217981145658e-165
101,0.006409333446256383,1.9505395984524527e-162,3.541191728526933e-165
102,0.006096746565515638,2.387508795144402e-162,4.287495655542217e-165
103,0.005799404726842141,2.462102451090829e-162,5.019581725352087e-165
104,0.0055165644207607716,4.3821094441648053e-162,6.259018901821721e-165
105,0.005247518399181385,8.278441275737416e-162,8.486300591937458e-165
106,0.004991593906910217,8.349802609905619e-162,1.0623219585442024e-164
107,0.004748150999411478,2.211697174246068e-161,1.6007439491494112e-164
108,0.004516580942612666,1.2552946876893094e-160,4.5076305704240104e-164
109,0.00429630469075234,1.490998950227194e-160,7.791947173261283e-164
110,0.004086771438464067,2.3952005242514032e-160,1.2810688730551018e-163
111,0.0038874572434761303,4.8612954937206843e-160,2.2499940709845225e-163
112,0.003697863716482932,1.306253786685869e-159,4.7265666966444697e-163
113,0.0035175167749121284,1.553910377320294e-159,7.528996536892955e-163
114,0.003345965457471272,4.570995355919924e-159,1.5370599290133948e-162
115,0.003182780796509667,5.533514346820738e-159,2.440044591625515e-162
116,0.0030275547453758153,2.4369449721258055e-158,6.2228180401613415e-162
117,0.002879899158088243,3.256702953578823e-158,1.1031521912479866e-161
118,0.0027394448187683684,8.71778242507472e-158,2.327602562096271e-161
119,0.0026058405184084983,8.781952521265717e-158,3.5009091844935742e-161
120,0.0024787521766663585,1.3908724264268862e-157,5.268545886988167e-161
121,0.002357862006490233,2.0998865902531213e-156,3.0654110611614565e-160
122,0.0022428677194858034,2.3246149746422353e-156,5.738585476849496e-160
123,0.002133481770037708,3.1939873519657366e-156,9.232358867049293e-160
124,0.002029430636295734,1.3123207726196013e-155,2.288720528947058e-159
125,0.0019304541362277093,5.5255912453761345e-155,7.757757351685536e-159
126,0.0018363047770289071,1.2926033589415826e-154,1.9927535145942467e-158
127,0.0017467471362611197,1.74930507802873e-154,3.5593898723078806e-158
128,0.001661557273173934,2.4624829403118975e-154,5.657175717704892e-158
129,0.001580522168736217,2.4913313017709184e-154,7.676028639984486e-158
130,0.0015034391929775724,2.9668014282500832e-154,9.962927465729623e-158
131,0.0014301155983078744,5.2502815526553847e-154,1.3812622630416582e-157
132,0.0013603680375478939,1.9216964522501025e-153,2.721598663697189e-157
133,0.001294022105465848,4.0591124277352845e-153,5.414654638136324e-157
134,0.001230911902673481,2.754653409789081e-152,2.2799328169583738e-156
135,0.0011708796207911744,3.803260435455167e-152,4.5631168422890596e-156
