n_iterations,n_points,stoch_prior,trapezoid
100000,100,False,False
iteration,prior mass,worst L,evidence
0,1.0,0.0,0.0
1,0.9900498337491681,3.951729931567581e-196,3.932036979748597e-198
2,0.9801986733067553,4.271523411961127e-196,8.139983226223781e-198
3,0.9704455335485082,5.728248060373252e-196,1.37268236164966e-197
4,0.9607894391523232,5.782590954281868e-196,1.931054802740371e-197
5,0.951229424500714,6.234781026261739e-196,2.527100782346741e-197
6,0.9417645335842487,8.287988674357754e-196,3.311549869543701e-197
7,0.9323938199059483,8.581144302372483e-196,4.1156643324408183e-197
8,0.9231163463866358,9.189051911819142e-196,4.96817619023572e-197
9,0.9139311852712282,1.5424269782608367e-195,6.384920220643423e-197
10,0.9048374180359595,3.030723190552938e-195,9.140989345585346e-197
11,0.8958341352965282,4.2642704336090246e-195,1.298023258470328e-196
12,0.8869204367171575,7.37272538485817e-195,1.955205776361337e-196
13,0.8780954309205613,8.199370815200687e-195,2.6788007260872126e-196
14,0.8693582353988059,8.674841528431521e-195,3.4367385916287134e-196
15,0.8607079764250578,1.0363880266153513e-194,4.333241074380161e-196
16,0.8521437889662113,1.5382483274571788e-194,5.650625777840192e-196
17,0.8436648165963837,1.553492827542734e-194,6.967828053986218e-196
18,0.835270211411272,1.8437790080219314e-194,8.51560773608032e-196
19,0.8269591339433623,1.9303448935320168e-194,1.0119932331073171e-195
20,0.8187307530779818,1.989821643907997e-194,1.175723336509842e-195
21,0.8105842459701871,2.164146638428076e-194,1.3520256962324862e-195
22,0.8025187979624785,2.3036827846312792e-194,1.5378280334894554e-195
23,0.794533602503334,2.6169704365916168e-194,1.746798237959322e-195
24,0.7866278610665535,2.932578088562327e-194,1.9786402790727418e-195
25,0.7788007830714049,3.331484140026125e-194,2.2393981411085917e-195
26,0.7710515858035663,3.831527390322792e-194,2.536310756955974e-195
27,0.7633794943368531,4.542956471715596e-194,2.884850532758957e-195
28,0.7557837414557255,4.7465446765472255e-194,3.2453863367818055e-195
29,0.7482635675785653,6.306134236316331e-194,3.719618596279922e-195
30,0.7408182206817179,9.633020205352161e-194,4.436830367211792e-195
31,0.7334469562242892,1.9702505587114892e-193,5.8891541587776836e-195
32,0.7261490370736909,2.103176330642554e-193,7.424035240825819e-195
