n_iterations,n_points,stoch_prior,trapezoid
5000,5,False,False
iteration,prior mass,worst L,evidence
0,1.0,0.0,0.0
1,0.8187307530779818,1.6872808997622251e-195,3.058521380458038e-196
2,0.6703200460356393,2.3553825601241384e-193,3.526225124836842e-194
3,0.5488116360940264,2.508863429867695e-193,6.574705186075691e-194
4,0.44932896411722156,3.0945563442931806e-193,9.653252523206279e-194
5,0.36787944117144233,2.128659563497209e-192,2.699108311928811e-193
6,0.30119421191220214,2.2915389901620136e-191,1.7980288603472976e-192
7,0.2465969639416065,3.116778615280431e-190,1.881478235313884e-191
8,0.20189651799465538,1.0612514159370347e-186,4.7457226336571884e-188
9,0.16529888822158653,3.8670624960604067e-185,1.4627104417379546e-186
10,0.1353352832366127,2.6815869043412388e-183,8.181272117629764e-185
11,0.11080315836233387,2.0974359105353496e-182,5.963583179067969e-184
12,0.09071795328941251,1.2227105524280844e-180,2.5154750508249835e-182
13,0.07427357821433388,1.283510553463578e-180,4.626127946222668e-182
14,0.06081006262521797,4.048098366542312e-180,1.0076291492644373e-181
15,0.049787068367863944,2.4969043424543643e-179,3.7599653720681163e-181
16,0.04076220397836621,4.39348757185495e-179,7.725028325361576e-181
17,0.03337326996032608,3.0432717726692023e-177,2.325903715975292e-179
18,0.02732372244729256,5.182201367466042e-177,5.460901055434602e-179
19,0.0223707718561656,6.0538395584113265e-174,3.0038977229975486e-176
20,0.01831563888873418,4.4648589455922665e-173,2.110949442819985e-175
21,0.014995576820477703,4.57901317733014e-173,3.6312102388300207e-175
22,0.012277339903068436,3.289500812488416e-169,8.945273758592622e-172
23,0.010051835744633586,1.1564968669940192e-167,2.6632413242979915e-170
24,0.00822974704902003,6.955482298280916e-167,1.5336746992535845e-169
25,0.006737946999085467,2.2695706022546984e-166,4.91942023702716e-169
26,0.0055165644207607716,1.5665106599811998e-165,2.4052508525636742e-168
27,0.004516580942612666,4.587425707123183e-164,4.827874999611441e-167
28,0.003697863716482932,4.908578844856315e-164,8.846613055711297e-167
29,0.0030275547453758153,8.152445519464666e-163,6.349318673730314e-166
30,0.0024787521766663585,6.483987730021134e-159,3.559064053583571e-162
31,0.002029430636295734,7.332053513480944e-159,6.853513632340678e-162
32,0.001661557273173934,5.6264712855655125e-157,2.1383640506526302e-160
33,0.0013603680375478939,5.950957734089996e-157,3.930728461826068e-160
34,0.0011137751478448032,3.2801832186996347e-156,1.2019427048373345e-159
35,0.0009118819655545162,3.3791052873628846e-155,8.02412590243361e-159
36,0.0007465858083766792,2.4834574578938227e-153,4.185301002069226e-157
37,0.0006112527611295723,2.5489419292702986e-153,7.634861787509916e-157
38,0.0005004514334406108,2.689476335198144e-153,1.0614837274789883e-156
39,0.0004097349789797868,1.8399892373902784e-152,2.7306567261002034e-156
40,0.00033546262790251185,5.298658192311166e-151,4.2085036875881604e-155
41,0.00027465356997214254,5.672741123392835e-151,7.658044123551994e-155
42,0.0002248673241788482,9.232420054810484e-150,5.362279753512547e-154
43,0.0001841057936675792,1.7004814921686358e-146,6.936785102441522e-151
44,0.0001507330750954765,6.731271671245929e-145,2.3157762021929925e-149
45,0.00012340980408667956,2.932251146052102e-144,1.0327645475136693e-148
46,0.00010103940183709342,6.673223669257344e-144,2.525591525341129e-148
47,8.272406555663223e-05,1.1102006570269584e-143,4.558961362564899e-148
48,6.77287364908539e-05,2.474760872420398e-143,8.269946726670552e-148
49,5.5451599432176945e-05,2.6555102289875876e-143,1.1530153030870475e-147
50,4.5399929762484854e-05,4.452877565899666e-143,1.6006038468071078e-147
51,3.7170318684126734e-05,3.183122304838864e-141,2.779646243047786e-146
52,3.0432483008403625e-05,1.328784430469414e-139,9.23109576526701e-145
53,2.4916009731503204e-05,1.8322995100894404e-139,1.933892704795314e-144
54,2.0399503411171922e-05,3.570543242667654e-139,3.546530817047775e-144
55,1.670170079024566e-05,1.3161459471783e-137,5.221501014702174e-143
56,1.3674196065680964e-05,3.198199478762996e-137,1.4904065046757492e-142
