iteration,prior mass,evidence
0,1.0,0.0
1,0.9900498337491681,3.932036979748597e-198
2,0.9801986733067553,8.139983226223781e-198
3,0.9704455335485082,1.37268236164966e-197
4,0.9607894391523232,1.931054802740371e-197
5,0.951229424500714,2.527100782346741e-197
6,0.9417645335842487,3.311549869543701e-197
7,0.9323938199059483,4.1156643324408183e-197
8,0.9231163463866358,4.96817619023572e-197
9,0.9139311852712282,6.384920220643423e-197
10,0.9048374180359595,9.140989345585346e-197
11,0.8958341352965282,1.298023258470328e-196
12,0.8869204367171575,1.955205776361337e-196
13,0.8780954309205613,2.6788007260872126e-196
14,0.8693582353988059,3.4367385916287134e-196
15,0.8607079764250578,4.333241074380161e-196
16,0.8521437889662113,5.414830532507887e-196
17,0.8436648165963837,6.719107039152188e-196
18,0.835270211411272,8.023202933664595e-196
19,0.8269591339433623,9.555581950602195e-196
20,0.8187307530779818,1.1192882984627442e-195
21,0.8105842459701871,1.2955906581853885e-195
22,0.8025187979624785,1.4813929954423577e-195
23,0.794533602503334,1.715565087806102e-195
24,0.7866278610665535,2.0184757363644482e-195
25,0.7788007830714049,2.354669098438059e-195
26,0.7710515858035663,2.7067117572233423e-195
27,0.7633794943368531,3.0708710063164472e-195
28,0.7557837414557255,3.490911562940531e-195
29,0.7482635675785653,3.965143822438648e-195
30,0.7408182206817179,4.52648876928868e-195
31,0.7334469562242892,5.101041171357548e-195
32,0.7261490370736909,5.80022135078596e-195
33,0.7189237334319262,6.496236310495206e-195
34,0.7117703227626097,7.905637447286566e-195
35,0.7046880897187134,9.395155937888275e-195
36,0.697676326071031,1.1752160471679212e-194
37,0.6907343306373547,1.443475949700381e-194
38,0.6838614092123558,1.7469395570170616e-194
39,0.6770568744981647,2.062041816565986e-194
40,0.6703200460356393,2.4887102508717045e-194
41,0.6636502501363194,3.026089910078218e-194
42,0.6570468198150567,3.719243449036091e-194
43,0.6505090947233165,4.4618541888145144e-194
44,0.6440364210831414,5.2528132609722875e-194
45,0.6376281516217733,6.167037245603124e-194
46,0.631283645506926,7.174400487599884e-194
47,0.6250022682827008,8.184971373336172e-194
48,0.6187833918061408,9.479308518015586e-194
49,0.6126263941844161,1.0996565247748246e-193
50,0.6065306597126334,1.2607382982042342e-193
51,0.6004955788122659,1.4241038026939844e-193
52,0.5945205479701944,1.5898328853850817e-193
53,0.5886049696783552,1.7617450723836188e-193
54,0.5827482523739896,1.9512404109217046e-193
55,0.5769498103804866,2.1702220889539671e-193
56,0.5712090638488149,2.392481461260365e-193
57,0.5655254386995371,2.6314842730319185e-193
58,0.559898366565402,2.8943682292647143e-193
59,0.5543272847345071,3.218488866365019e-193
60,0.5488116360940264,3.576721135314061e-193
61,0.5433508690744998,3.945938402649348e-193
62,0.5379444375946745,4.477816459217323e-193
63,0.5325918010068972,5.071624782085826e-193
64,0.5272924240430485,5.660302229305957e-193
65,0.522045776761016,6.379974996144383e-193
66,0.5168513344916992,7.6155762580269345e-193
67,0.5117085777865424,8.88966084076896e-193
68,0.5066169923655895,1.029334020747673e-192
69,0.5015760690660556,1.1847813269180852e-192
70,0.4965853037914095,1.3445395703621867e-192
71,0.4916441974609651,1.5336914441490404e-192
72,0.4867522559599717,1.7267272611935647e-192
73,0.48190899009020244,1.937670744330773e-192
74,0.4771139155210344,2.2243642573963883e-192
75,0.4723665527410147,2.5809027158184816e-192
76,0.46766642700990924,2.9597764032807322e-192
77,0.46301306831122807,3.4103711836533713e-192
78,0.4584060113052235,4.222671948353135e-192
79,0.45384479528235583,5.883310130731696e-192
80,0.44932896411722156,7.640597156655469e-192
81,0.4448580662229411,9.484037039525384e-192
82,0.4404316545059993,1.1766214570857418e-191
83,0.4360492863215356,1.413896562976157e-191
